Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Packers to receive the opening kickoff.",,,13.0,2024,182
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 62 yards, returned by Keisean Nixon for 43 yards (tackle by Jason Sanders)",0.0,1.99,13.0,2024,182
1.0,14:53,1.0,10.0,GNB 46,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Jordyn Brooks),1.99,1.59,13.0,2024,182
1.0,14:13,2.0,9.0,GNB 47,0.0,0.0,"Penalty on Tucker Kraft: False Start, 5 yards (accepted) (no play)",1.59,0.91,13.0,2024,182
1.0,13:50,2.0,14.0,GNB 42,0.0,0.0,Jordan Love pass incomplete deep middle intended for Jayden Reed,0.91,0.23,13.0,2024,182
1.0,13:45,3.0,14.0,GNB 42,0.0,0.0,Jordan Love pass incomplete short left intended for Tucker Kraft,0.23,-0.59,13.0,2024,182
1.0,13:40,4.0,14.0,GNB 42,0.0,0.0,"Daniel Whelan punts 49 yards, recovered by Robert Rochell at MIA-9",-0.59,5.14,13.0,2024,182
1.0,13:30,1.0,9.0,MIA 9,0.0,0.0,Josh Jacobs left guard for 6 yards (tackle by Jordan Poyer and Tyrel Dodson),5.14,5.53,13.0,2024,182
1.0,12:51,2.0,3.0,MIA 3,0.0,0.0,Josh Jacobs left guard for no gain (tackle by Tyrel Dodson),5.53,4.72,13.0,2024,182
1.0,12:05,3.0,3.0,MIA 3,0.0,6.0,"Jordan Love pass complete short right to Jayden Reed for 3 yards, touchdown",4.72,7.0,13.0,2024,182
1.0,12:00,,,MIA 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,13.0,2024,182
1.0,12:00,,,GNB 35,0.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,182
1.0,12:00,1.0,10.0,MIA 30,0.0,7.0,"Penalty on Jonnu Smith: False Start, 5 yards (accepted) (no play)",0.94,0.61,13.0,2024,182
1.0,12:00,1.0,15.0,MIA 25,0.0,7.0,Tua Tagovailoa pass complete short right to De'Von Achane for 11 yards (tackle by Isaiah McDuffie),0.61,1.2,13.0,2024,182
1.0,11:19,2.0,4.0,MIA 36,0.0,7.0,Tua Tagovailoa pass complete short right to De'Von Achane for 7 yards (tackle by Keisean Nixon),1.2,1.8,13.0,2024,182
1.0,10:53,1.0,10.0,MIA 43,0.0,7.0,"Tua Tagovailoa sacked by Kingsley Enagbare for no gain. Penalty on Rashan Gary: Defensive Offside, 5 yards (accepted) (no play)",1.8,2.53,13.0,2024,182
1.0,10:53,1.0,5.0,MIA 48,0.0,7.0,"Penalty on Julian Hill: False Start, 5 yards (accepted)",2.53,1.8,13.0,2024,182
1.0,10:06,1.0,10.0,MIA 43,0.0,7.0,De'Von Achane up the middle for -1 yards (tackle by Isaiah McDuffie),1.8,1.12,13.0,2024,182
1.0,9:23,2.0,11.0,MIA 42,0.0,7.0,"Tua Tagovailoa up the middle for -3 yards (tackle by Lukas Van Ness). Penalty on Jonnu Smith: Unnecessary Roughness / Offense, 15 yards (accepted)",1.12,-1.95,13.0,2024,182
1.0,9:04,3.0,29.0,MIA 24,0.0,7.0,Raheem Mostert right end for 3 yards (tackle by Rashan Gary),-1.95,-1.57,13.0,2024,182
1.0,8:23,4.0,26.0,MIA 27,0.0,7.0,Jake Bailey punts 49 yards out of bounds,-1.57,-0.54,13.0,2024,182
