Unnamed: 0,SEA,NYJ,week,year,game_id
First Downs,16,17,13.0,2024,187
Rush-Yds-TDs,23-84-1,21-89-0,13.0,2024,187
Cmp-Att-Yd-TD-INT,20-31-206-1-0,21-39-185-2-1,13.0,2024,187
Sacked-Yards,3-31,2-16,13.0,2024,187
Net Pass Yards,175,169,13.0,2024,187
Total Yards,259,258,13.0,2024,187
Fumbles-Lost,3-2,2-1,13.0,2024,187
Turnovers,2,2,13.0,2024,187
Penalties-Yards,5-50,12-83,13.0,2024,187
Third Down Conv.,4-13,5-13,13.0,2024,187
Fourth Down Conv.,1-2,1-3,13.0,2024,187
Time of Possession,31:21,28:39,13.0,2024,187
