Unnamed: 0,CLE,DEN,week,year,game_id
First Downs,28,19,13.0,2024,195
Rush-Yds-TDs,23-77-0,26-106-2,13.0,2024,195
Cmp-Att-Yd-TD-INT,34-58-497-4-3,18-35-294-1-2,13.0,2024,195
Sacked-Yards,3-22,0-0,13.0,2024,195
Net Pass Yards,475,294,13.0,2024,195
Total Yards,552,400,13.0,2024,195
Fumbles-Lost,0-0,0-0,13.0,2024,195
Turnovers,3,2,13.0,2024,195
Penalties-Yards,5-46,4-57,13.0,2024,195
Third Down Conv.,9-19,6-13,13.0,2024,195
Fourth Down Conv.,2-2,0-0,13.0,2024,195
Time of Possession,32:10,27:50,13.0,2024,195
