#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:35,NYJ 13,3,0:53,3,Punt,1,Jets,13.0,2024,187
2,1,9:26,NYJ 20,11,6:01,80,Touchdown,1,Jets,13.0,2024,187
3,1,3:18,SEA 27,4,1:31,27,Touchdown,1,Jets,13.0,2024,187
5,2,10:34,SEA 38,6,2:55,29,Interception,1,Jets,13.0,2024,187
6,2,7:39,NYJ 44,4,1:42,8,Downs,1,Jets,13.0,2024,187
7,2,4:15,NYJ 30,6,3:10,20,Punt,1,Jets,13.0,2024,187
8,2,0:06,NYJ 36,2,0:06,-1,End of Half,1,Jets,13.0,2024,187
9,3,15:00,NYJ 31,7,3:21,27,Punt,1,Jets,13.0,2024,187
10,3,5:28,NYJ 16,3,2:12,34,Fumble,1,Jets,13.0,2024,187
11,4,13:11,NYJ 38,3,1:37,-1,Punt,1,Jets,13.0,2024,187
12,4,5:31,NYJ 28,13,4:58,38,Downs,1,Jets,13.0,2024,187
