Unnamed: 0,LVR,KAN,week,year,game_id
First Downs,20,18,13.0,2024,183
Rush-Yds-TDs,25-116-0,16-63-0,13.0,2024,183
Cmp-Att-Yd-TD-INT,23-35-340-2-0,26-46-306-1-0,13.0,2024,183
Sacked-Yards,3-22,5-40,13.0,2024,183
Net Pass Yards,318,266,13.0,2024,183
Total Yards,434,329,13.0,2024,183
Fumbles-Lost,2-1,1-0,13.0,2024,183
Turnovers,1,0,13.0,2024,183
Penalties-Yards,9-101,7-40,13.0,2024,183
Third Down Conv.,3-12,7-16,13.0,2024,183
Fourth Down Conv.,0-1,0-0,13.0,2024,183
Time of Possession,31:12,28:48,13.0,2024,183
