Quarter,Time,Tm,Detail,TAM,CAR,week,year,game_id
1,4:29,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0,13.0,2024,191
,0:48,Panthers,Eddy Piñeiro 47 yard field goal,7,3,13.0,2024,191
2,7:45,Panthers,Bryce Young 10 yard rush (Eddy Piñeiro kick),7,10,13.0,2024,191
,3:39,Buccaneers,Chase McLaughlin 27 yard field goal,10,10,13.0,2024,191
,0:05,Panthers,Eddy Piñeiro 27 yard field goal,10,13,13.0,2024,191
3,0:19,Panthers,Eddy Piñeiro 22 yard field goal,10,16,13.0,2024,191
4,8:53,Buccaneers,Bucky Irving 6 yard rush (Chase McLaughlin kick),17,16,13.0,2024,191
,3:05,Buccaneers,Chase McLaughlin 26 yard field goal,20,16,13.0,2024,191
,0:30,Panthers,Adam Thielen 25 yard pass from Bryce Young (Eddy Piñeiro kick),20,23,13.0,2024,191
,0:00,Buccaneers,Chase McLaughlin 51 yard field goal,23,23,13.0,2024,191
OT,2:50,Buccaneers,Chase McLaughlin 30 yard field goal,26,23,13.0,2024,191
