Unnamed: 0,IND,NWE,week,year,game_id
First Downs,20,23,13.0,2024,189
Rush-Yds-TDs,34-144-1,31-200-1,13.0,2024,189
Cmp-Att-Yd-TD-INT,12-24-109-2-2,24-30-238-1-1,13.0,2024,189
Sacked-Yards,0-0,4-16,13.0,2024,189
Net Pass Yards,109,222,13.0,2024,189
Total Yards,253,422,13.0,2024,189
Fumbles-Lost,1-0,2-0,13.0,2024,189
Turnovers,2,1,13.0,2024,189
Penalties-Yards,2-15,7-88,13.0,2024,189
Third Down Conv.,5-11,6-11,13.0,2024,189
Fourth Down Conv.,3-3,0-0,13.0,2024,189
Time of Possession,25:48,34:12,13.0,2024,189
