Unnamed: 0,CHI,DET,week,year,game_id
First Downs,17,25,13.0,2024,180
Rush-Yds-TDs,15-78-0,33-194-0,13.0,2024,180
Cmp-Att-Yd-TD-INT,20-39-256-3-0,21-34-221-2-0,13.0,2024,180
Sacked-Yards,5-33,2-10,13.0,2024,180
Net Pass Yards,223,211,13.0,2024,180
Total Yards,301,405,13.0,2024,180
Fumbles-Lost,0-0,2-1,13.0,2024,180
Turnovers,0,1,13.0,2024,180
Penalties-Yards,8-78,6-79,13.0,2024,180
Third Down Conv.,7-15,5-14,13.0,2024,180
Fourth Down Conv.,0-2,1-1,13.0,2024,180
Time of Possession,24:46,35:14,13.0,2024,180
