Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,17.0,2022,255
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,255
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris right tackle for 3 yards (tackle by Broderick Washington),0.61,0.47,17.0,2022,255
1.0,14:26,2.0,7.0,PIT 28,0.0,0.0,Kenny Pickett pass complete short left to Pat Freiermuth for 6 yards (tackle by Brandon Stephens),0.47,0.56,17.0,2022,255
1.0,13:52,3.0,1.0,PIT 34,0.0,0.0,Derek Watt right guard for 3 yards (tackle by Brent Urban),0.56,1.4,17.0,2022,255
1.0,13:14,1.0,10.0,PIT 37,0.0,0.0,Najee Harris left guard for 6 yards (tackle by Patrick Queen),1.4,1.67,17.0,2022,255
1.0,12:35,2.0,4.0,PIT 43,0.0,0.0,Kenny Pickett pass complete short right to Steven Sims for 2 yards (tackle by Brandon Stephens and Chuck Clark),1.67,1.22,17.0,2022,255
1.0,11:55,3.0,2.0,PIT 45,0.0,0.0,Kenny Pickett pass complete short right to Jaylen Warren for 10 yards (tackle by Roquan Smith),1.22,2.59,17.0,2022,255
1.0,11:17,1.0,10.0,BAL 45,0.0,0.0,Jaylen Warren left guard for 1 yard (tackle by Travis Jones and Rayshad Nichols),2.59,2.18,17.0,2022,255
1.0,10:39,2.0,9.0,BAL 44,0.0,0.0,Jaylen Warren left end for 31 yards (tackle by Marcus Williams),2.18,4.71,17.0,2022,255
1.0,10:00,1.0,10.0,BAL 13,0.0,0.0,Najee Harris left guard for 3 yards (tackle by Travis Jones and Patrick Queen),4.71,4.58,17.0,2022,255
1.0,9:24,2.0,7.0,BAL 10,0.0,0.0,Najee Harris right guard for 6 yards (tackle by Marcus Williams and Roquan Smith),4.58,5.01,17.0,2022,255
1.0,9:06,3.0,1.0,BAL 4,0.0,0.0,Kenny Pickett up the middle for 2 yards (tackle by Roquan Smith and Brent Urban),5.01,6.74,17.0,2022,255
1.0,8:24,1.0,2.0,BAL 2,0.0,0.0,"Penalty on Pat Freiermuth: False Start, 5 yards (accepted) (no play)",6.74,5.6,17.0,2022,255
1.0,7:59,1.0,7.0,BAL 7,0.0,0.0,Kenny Pickett pass incomplete short left intended for Najee Harris (defended by Roquan Smith),5.6,4.76,17.0,2022,255
1.0,7:52,2.0,7.0,BAL 7,0.0,0.0,Najee Harris for 5 yards (tackle by Chuck Clark and Patrick Queen),4.76,4.95,17.0,2022,255
1.0,7:08,3.0,2.0,BAL 2,0.0,0.0,Kenny Pickett pass incomplete short right intended for George Pickens (defended by Brandon Stephens),4.95,3.25,17.0,2022,255
1.0,7:04,4.0,2.0,BAL 2,3.0,0.0,Chris Boswell 21 yard field goal good,3.25,3.0,17.0,2022,255
1.0,7:01,,,PIT 35,3.0,0.0,"Chris Boswell kicks off 65 yards, returned by Justice Hill for 27 yards (tackle by Connor Heyward and James Pierre)",0.0,0.74,17.0,2022,255
1.0,6:56,1.0,10.0,BAL 27,3.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Mark Robinson),0.74,0.6,17.0,2022,255
1.0,6:21,2.0,7.0,BAL 30,3.0,0.0,Tyler Huntley pass complete short left to Mark Andrews for 7 yards (tackle by Terrell Edmunds and Mark Robinson),0.6,1.4,17.0,2022,255
