Unnamed: 0,CLE,WAS,week,year,game_id
First Downs,16,17,17.0,2022,245
Rush-Yds-TDs,30-146-0,37-136-1,17.0,2022,245
Cmp-Att-Yd-TD-INT,9-18-169-3-0,16-28-143-0-3,17.0,2022,245
Sacked-Yards,5-14,3-19,17.0,2022,245
Net Pass Yards,155,124,17.0,2022,245
Total Yards,301,260,17.0,2022,245
Fumbles-Lost,0-0,0-0,17.0,2022,245
Turnovers,0,3,17.0,2022,245
Penalties-Yards,3-20,5-24,17.0,2022,245
Third Down Conv.,4-11,7-16,17.0,2022,245
Fourth Down Conv.,1-2,2-4,17.0,2022,245
Time of Possession,26:28,33:32,17.0,2022,245
