Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Justin Fields,CHI,10,132,0,3.0,117,11.7,15,1.5,0,,17.0,2022,244
David Montgomery,CHI,6,24,0,,20,3.3,4,0.7,0,,17.0,2022,244
Khalil Herbert,CHI,5,31,0,1.0,13,2.6,18,3.6,0,,17.0,2022,244
Velus Jones Jr.,CHI,1,13,0,1.0,12,12.0,1,1.0,0,,17.0,2022,244
Jamaal Williams,DET,22,144,1,5.0,56,2.5,88,4.0,2,11.0,17.0,2022,244
D'Andre Swift,DET,11,78,1,3.0,45,4.1,33,3.0,1,11.0,17.0,2022,244
Nate Sudfeld,DET,3,-3,0,,-3,-1.0,0,0.0,0,,17.0,2022,244
Jared Goff,DET,1,2,0,1.0,1,1.0,1,1.0,0,,17.0,2022,244
Kalif Raymond,DET,1,4,0,1.0,1,1.0,3,3.0,0,,17.0,2022,244
Jameson Williams,DET,1,40,0,1.0,37,37.0,3,3.0,0,,17.0,2022,244
