Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Bears to receive the opening kickoff.",,,17.0,2022,244
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,244
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,David Montgomery up the middle for 1 yard (tackle by Alex Anzalone),0.61,0.2,17.0,2022,244
1.0,14:19,2.0,9.0,CHI 26,0.0,0.0,Justin Fields pass incomplete deep left intended for Velus Jones,0.2,-0.49,17.0,2022,244
1.0,13:35,3.0,9.0,CHI 26,0.0,0.0,Justin Fields scrambles left end for 8 yards (tackle by Josh Paschal),-0.49,-1.11,17.0,2022,244
1.0,15:00,4.0,1.0,CHI 34,0.0,0.0,"Penalty on Jerry Jacobs: Defensive Holding, 5 yards (accepted) (no play)",-1.11,1.53,17.0,2022,244
1.0,13:17,1.0,10.0,CHI 39,0.0,0.0,Justin Fields right end for 5 yards (tackle by Aidan Hutchinson),1.53,1.66,17.0,2022,244
1.0,13:08,2.0,5.0,CHI 44,0.0,0.0,Justin Fields pass complete short left to David Montgomery for 4 yards (tackle by Jerry Jacobs and Alex Anzalone),1.66,1.49,17.0,2022,244
1.0,12:30,3.0,1.0,CHI 48,0.0,0.0,Justin Fields left end for 31 yards (tackle by Kerby Joseph),1.49,4.17,17.0,2022,244
1.0,11:43,1.0,10.0,DET 21,0.0,0.0,Justin Fields pass incomplete deep right intended for Byron Pringle,4.17,3.63,17.0,2022,244
1.0,11:36,2.0,10.0,DET 21,0.0,0.0,Khalil Herbert right end for 8 yards (tackle by Malcolm Rodriguez and Romeo Okwara),3.63,4.24,17.0,2022,244
1.0,11:00,3.0,2.0,DET 13,6.0,0.0,"Justin Fields pass complete short right to Cole Kmet for 13 yards, touchdown",4.24,7.0,17.0,2022,244
1.0,10:54,,,DET 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,17.0,2022,244
1.0,10:54,,,CHI 35,7.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,244
1.0,10:54,1.0,10.0,DET 25,7.0,0.0,Jared Goff pass complete short middle to Brock Wright for 2 yards (tackle by Joe Thomas),0.61,0.33,17.0,2022,244
1.0,10:19,2.0,8.0,DET 27,7.0,0.0,Jamaal Williams up the middle for 4 yards (tackle by Joe Thomas and Angelo Blackson),0.33,0.17,17.0,2022,244
1.0,9:36,3.0,4.0,DET 31,7.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 28 yards (tackle by Josh Blackwell),0.17,2.85,17.0,2022,244
1.0,8:53,1.0,10.0,CHI 41,7.0,0.0,Jared Goff pass incomplete short right intended for Jameson Williams,2.85,2.31,17.0,2022,244
1.0,8:46,2.0,10.0,CHI 41,7.0,0.0,"Jamaal Williams left end for 1 yard (tackle by DeAndre Houston-Carson). Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted)",2.31,1.09,17.0,2022,244
1.0,8:21,2.0,19.0,DET 50,7.0,0.0,Jared Goff pass complete short left to Kalif Raymond for 15 yards (tackle by Jaylon Jones),1.09,2.41,17.0,2022,244
1.0,7:45,3.0,4.0,CHI 35,7.0,0.0,Jared Goff pass incomplete short middle intended for DJ Chark,2.41,0.98,17.0,2022,244
1.0,7:38,4.0,4.0,CHI 35,7.0,0.0,"Jared Goff pass incomplete deep middle intended for DJ Chark. Penalty on Kyler Gordon: Defensive Pass Interference, 34 yards (accepted) (no play)",0.98,6.97,17.0,2022,244
1.0,7:29,1.0,1.0,CHI 1,7.0,0.0,Jamaal Williams left tackle for -1 yards (tackle by Matthew Adams and DeMarquis Gates),6.97,5.72,17.0,2022,244
1.0,6:48,2.0,2.0,CHI 2,7.0,6.0,"Jared Goff pass complete short right to Brock Wright for 2 yards, touchdown",5.72,7.0,17.0,2022,244
1.0,6:45,,,CHI 15,7.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,17.0,2022,244
1.0,6:45,,,DET 35,7.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,244
1.0,6:45,1.0,10.0,CHI 25,7.0,7.0,Justin Fields sacked by John Cominsky for -3 yards,0.61,-0.34,17.0,2022,244
1.0,6:01,2.0,13.0,CHI 22,7.0,7.0,David Montgomery up the middle for 9 yards (tackle by Alex Anzalone and Derrick Barnes),-0.34,0.17,17.0,2022,244
1.0,5:21,3.0,4.0,CHI 31,7.0,7.0,Justin Fields scrambles for 60 yards (tackle by Kerby Joseph),0.17,5.14,17.0,2022,244
1.0,4:28,1.0,9.0,DET 9,7.0,7.0,David Montgomery right tackle for 6 yards (tackle by Derrick Barnes and Alex Anzalone),5.14,5.53,17.0,2022,244
1.0,3:44,2.0,3.0,DET 3,7.0,7.0,Justin Fields right end for 1 yard (tackle by Aidan Hutchinson and Alim McNeill),5.53,4.95,17.0,2022,244
1.0,3:06,3.0,2.0,DET 2,7.0,7.0,Justin Fields sacked by and Ifeatu Melifonwu for -3 yards and Aidan Hutchinson for -3 yards,4.95,3.01,17.0,2022,244
1.0,2:28,4.0,5.0,DET 5,10.0,7.0,Cairo Santos 23 yard field goal good,3.01,3.0,17.0,2022,244
1.0,2:26,,,CHI 35,10.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,244
1.0,2:26,1.0,10.0,DET 25,10.0,7.0,Jamaal Williams up the middle for 14 yards (tackle by Josh Blackwell),0.61,1.53,17.0,2022,244
1.0,1:54,1.0,10.0,DET 39,10.0,7.0,Jared Goff pass complete short right to D'Andre Swift for 4 yards (tackle by Jaquan Brisker),1.53,1.53,17.0,2022,244
1.0,1:23,2.0,6.0,DET 43,10.0,7.0,Jared Goff pass complete deep left to DJ Chark for 28 yards (tackle by DeAndre Houston-Carson and Matthew Adams),1.53,3.64,17.0,2022,244
1.0,0:39,1.0,10.0,CHI 29,10.0,7.0,Jamaal Williams right end for 7 yards (tackle by Matthew Adams and Joe Thomas),3.64,4.05,17.0,2022,244
2.0,15:00,2.0,3.0,CHI 22,10.0,7.0,Jared Goff pass complete to Jason Cabinda for 5 yards (tackle by Matthew Adams and Kyler Gordon),4.05,4.44,17.0,2022,244
2.0,14:32,1.0,10.0,CHI 17,10.0,13.0,"D'Andre Swift left end for 17 yards, touchdown",4.44,7.0,17.0,2022,244
2.0,14:24,,,CHI 15,10.0,14.0,Michael Badgley kicks extra point good,0.0,0.0,17.0,2022,244
2.0,14:24,,,DET 35,10.0,14.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,244
2.0,14:24,1.0,10.0,CHI 25,10.0,14.0,Khalil Herbert up the middle for 8 yards (tackle by Alex Anzalone),0.61,1.14,17.0,2022,244
2.0,13:50,2.0,2.0,CHI 33,10.0,14.0,Velus Jones right end for 13 yards (tackle by Malcolm Rodriguez),1.14,1.99,17.0,2022,244
2.0,13:15,1.0,10.0,CHI 46,10.0,14.0,Khalil Herbert left end for no gain (tackle by Alex Anzalone),1.99,1.45,17.0,2022,244
2.0,12:34,2.0,10.0,CHI 46,10.0,14.0,Justin Fields pass incomplete short left intended for Cole Kmet (defended by Ifeatu Melifonwu),1.45,0.76,17.0,2022,244
