#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,11:33,NWE 19,10,4:18,81,Touchdown,1,Patriots,17.0,2022,249
2,2,14:55,NWE 25,6,3:36,30,Punt,1,Patriots,17.0,2022,249
3,2,6:21,NWE 41,3,0:53,-2,Punt,1,Patriots,17.0,2022,249
4,2,1:45,NWE 2,4,1:45,20,End of Half,1,Patriots,17.0,2022,249
5,3,15:00,NWE 25,3,0:55,4,Punt,1,Patriots,17.0,2022,249
6,3,13:01,NWE 10,3,0:59,3,Punt,1,Patriots,17.0,2022,249
7,3,9:17,NWE 18,9,5:14,51,Field Goal,1,Patriots,17.0,2022,249
8,4,14:18,NWE 37,3,1:31,5,Punt,1,Patriots,17.0,2022,249
9,4,9:43,NWE 11,11,5:06,89,Touchdown,1,Patriots,17.0,2022,249
10,4,3:23,MIA 35,4,0:51,-4,Downs,1,Patriots,17.0,2022,249
11,4,1:04,MIA 45,2,1:04,-2,End of Game,1,Patriots,17.0,2022,249
