Quarter,Time,Down,ToGo,Location,LAR,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Rams to receive the opening kickoff.",,,17.0,2022,254
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Cam Akers right guard for 8 yards (tackle by Asante Samuel and Nasir Adderley),0.61,1.14,17.0,2022,254
1.0,14:19,2.0,2.0,LAR 33,0.0,0.0,Cam Akers right tackle for 8 yards (tackle by Drue Tranquill),1.14,1.66,17.0,2022,254
1.0,13:43,1.0,10.0,LAR 41,0.0,0.0,Baker Mayfield pass incomplete short left intended for Cam Akers,1.66,1.12,17.0,2022,254
1.0,13:36,2.0,10.0,LAR 41,0.0,0.0,Cam Akers left tackle for 6 yards (tackle by Alohi Gilman and Drue Tranquill),1.12,1.22,17.0,2022,254
1.0,13:01,3.0,4.0,LAR 47,0.0,0.0,Baker Mayfield sacked by Morgan Fox for -7 yards,1.22,-0.72,17.0,2022,254
1.0,12:19,4.0,11.0,LAR 40,0.0,0.0,Riley Dixon punts 36 yards out of bounds,-0.72,-0.54,17.0,2022,254
1.0,12:13,1.0,10.0,LAC 24,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Ernest Jones),0.54,0.81,17.0,2022,254
1.0,11:40,2.0,4.0,LAC 30,0.0,0.0,Keenan Allen right end for 8 yards (tackle by Cobie Durant),0.81,1.47,17.0,2022,254
1.0,11:05,1.0,10.0,LAC 38,0.0,0.0,Austin Ekeler left guard for 8 yards (tackle by Cobie Durant and Bobby Wagner),1.47,2.0,17.0,2022,254
1.0,10:30,2.0,2.0,LAC 46,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Bobby Wagner),2.0,1.42,17.0,2022,254
1.0,9:52,3.0,1.0,LAC 47,0.0,0.0,"Joshua Kelley left tackle for no gain (tackle by Jalen Ramsey). Penalty on Donald Parham: Offensive Holding, 9 yards (accepted) (no play)",1.42,0.23,17.0,2022,254
1.0,9:33,3.0,10.0,LAC 38,0.0,0.0,Justin Herbert pass incomplete deep left intended for Mike Williams,0.23,-0.85,17.0,2022,254
1.0,9:27,4.0,10.0,LAC 38,0.0,0.0,"JK Scott punts 48 yards, fair catch by Brandon Powell at LA-14",-0.85,0.28,17.0,2022,254
1.0,9:19,1.0,10.0,LAR 14,0.0,0.0,Cam Akers up the middle for 2 yards (tackle by Sebastian Joseph-Day and Christopher Hinton),-0.28,-0.51,17.0,2022,254
1.0,8:42,2.0,8.0,LAR 16,0.0,0.0,Baker Mayfield pass complete short right to Brandon Powell for 3 yards (tackle by Sebastian Joseph-Day),-0.51,-0.8,17.0,2022,254
1.0,7:59,3.0,5.0,LAR 19,0.0,0.0,Baker Mayfield scrambles left end for 6 yards (tackle by Alohi Gilman),-0.8,0.61,17.0,2022,254
1.0,7:09,1.0,10.0,LAR 25,0.0,0.0,Baker Mayfield pass complete short right to Tyler Higbee for 4 yards (tackle by Drue Tranquill),0.61,0.6,17.0,2022,254
1.0,6:24,2.0,6.0,LAR 29,0.0,0.0,Baker Mayfield pass complete short right to Tyler Higbee for 7 yards (tackle by Kenneth Murray and Drue Tranquill),0.6,1.33,17.0,2022,254
1.0,5:44,1.0,10.0,LAR 36,0.0,0.0,Cam Akers left end for 42 yards (tackle by Kenneth Murray),1.33,4.11,17.0,2022,254
1.0,4:54,1.0,10.0,LAC 22,0.0,0.0,Baker Mayfield pass complete short right to Tyler Higbee for no gain (tackle by Nasir Adderley),4.11,3.56,17.0,2022,254
1.0,4:10,2.0,10.0,LAC 22,0.0,0.0,Baker Mayfield pass complete short left to Tutu Atwell for 6 yards (tackle by Bryce Callahan),3.56,3.74,17.0,2022,254
1.0,3:30,3.0,4.0,LAC 16,0.0,0.0,Brandon Powell left guard for 6 yards (tackle by Asante Samuel),3.74,4.91,17.0,2022,254
1.0,2:46,1.0,10.0,LAC 10,0.0,0.0,Cam Akers left tackle for 6 yards (tackle by Morgan Fox),4.91,5.34,17.0,2022,254
1.0,2:07,2.0,4.0,LAC 4,0.0,0.0,Cam Akers left end for -1 yards (tackle by Morgan Fox and Michael Davis),5.34,4.26,17.0,2022,254
1.0,1:17,3.0,5.0,LAC 5,0.0,0.0,Baker Mayfield pass incomplete short left intended for Tyler Higbee (defended by Michael Davis),4.26,3.01,17.0,2022,254
1.0,1:13,4.0,5.0,LAC 5,3.0,0.0,Matt Gay 23 yard field goal good,3.01,3.0,17.0,2022,254
1.0,1:09,,,LAR 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
1.0,1:09,1.0,10.0,LAC 25,3.0,0.0,Justin Herbert pass complete deep left to Mike Williams for 26 yards (tackle by Taylor Rapp),0.61,2.32,17.0,2022,254
1.0,0:33,1.0,10.0,LAR 49,3.0,0.0,Joshua Kelley left end for 12 yards (tackle by Taylor Rapp),2.32,3.12,17.0,2022,254
2.0,15:00,1.0,10.0,LAR 37,3.0,0.0,Austin Ekeler right end for 8 yards (tackle by Michael Hoecht and Nick Scott),3.12,3.65,17.0,2022,254
2.0,14:28,2.0,2.0,LAR 29,3.0,0.0,Justin Herbert pass complete short right to Mike Williams for 19 yards (tackle by Taylor Rapp),3.65,4.91,17.0,2022,254
2.0,13:47,1.0,10.0,LAR 10,3.0,6.0,"Austin Ekeler left guard for 10 yards, touchdown",4.91,7.0,17.0,2022,254
2.0,13:40,,,LAR 15,3.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2022,254
2.0,13:40,,,LAC 35,3.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
2.0,13:40,1.0,10.0,LAR 25,3.0,7.0,Cam Akers up the middle for 3 yards (tackle by Drue Tranquill),0.61,0.47,17.0,2022,254
2.0,12:56,2.0,7.0,LAR 28,3.0,7.0,Baker Mayfield pass complete deep right to Van Jefferson for 39 yards (tackle by Alohi Gilman),0.47,3.38,17.0,2022,254
2.0,12:06,1.0,10.0,LAC 33,3.0,7.0,Cam Akers left guard for 6 yards (tackle by Drue Tranquill and Asante Samuel),3.38,3.65,17.0,2022,254
2.0,11:21,2.0,4.0,LAC 27,3.0,7.0,Cam Akers left tackle for -2 yards (tackle by Drue Tranquill),3.65,2.68,17.0,2022,254
2.0,10:32,3.0,6.0,LAC 29,3.0,7.0,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 12 yards (accepted)",2.68,0.53,17.0,2022,254
2.0,10:32,4.0,18.0,LAC 41,3.0,7.0,Riley Dixon punts 31 yards downed by Christian Rozeboom,0.53,0.38,17.0,2022,254
2.0,10:20,1.0,10.0,LAC 10,3.0,7.0,Joshua Kelley left guard for 3 yards (tackle by Ernest Jones),-0.38,-0.56,17.0,2022,254
2.0,10:01,2.0,7.0,LAC 13,3.0,7.0,Justin Herbert pass incomplete short right intended for Joshua Kelley,-0.56,-1.07,17.0,2022,254
2.0,9:58,3.0,7.0,LAC 13,3.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Bobby Wagner),-1.07,0.48,17.0,2022,254
2.0,9:15,1.0,10.0,LAC 23,3.0,7.0,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Nick Scott),0.48,0.61,17.0,2022,254
2.0,8:37,2.0,5.0,LAC 28,3.0,13.0,"Austin Ekeler right guard for 72 yards, touchdown",0.61,7.0,17.0,2022,254
2.0,8:25,,,LAR 15,3.0,14.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2022,254
2.0,8:25,,,LAC 35,3.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
2.0,8:25,1.0,10.0,LAR 25,3.0,14.0,Baker Mayfield pass complete deep left to Van Jefferson for 16 yards (tackle by Asante Samuel),0.61,1.66,17.0,2022,254
2.0,7:40,1.0,10.0,LAR 41,3.0,14.0,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",1.66,1.33,17.0,2022,254
2.0,7:15,1.0,15.0,LAR 36,3.0,14.0,Cam Akers left tackle for 9 yards (tackle by Michael Davis and Drue Tranquill),1.33,1.53,17.0,2022,254
2.0,6:30,2.0,7.0,LAR 44,3.0,14.0,Cam Akers left guard for 3 yards (tackle by Kyle Van Noy and Morgan Fox),1.53,1.36,17.0,2022,254
2.0,5:46,,,,,,Timeout #1 by Los Angeles Chargers,,,17.0,2022,254
2.0,5:46,3.0,3.0,LAR 48,3.0,14.0,Baker Mayfield pass complete deep right to Van Jefferson for 22 yards (tackle by Nasir Adderley),1.36,3.58,17.0,2022,254
2.0,5:01,1.0,10.0,LAC 30,3.0,14.0,Cam Akers left tackle for 7 yards (tackle by Ja'Sir Taylor and Nasir Adderley),3.58,3.98,17.0,2022,254
2.0,4:17,2.0,3.0,LAC 23,3.0,14.0,Baker Mayfield pass incomplete short left intended for Brandon Powell (defended by Nasir Adderley),3.98,3.27,17.0,2022,254
2.0,4:14,3.0,3.0,LAC 23,9.0,14.0,"Malcolm Brown up the middle for 23 yards, touchdown",3.27,7.0,17.0,2022,254
2.0,4:09,,,LAC 15,10.0,14.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2022,254
2.0,4:09,,,LAR 35,10.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
2.0,4:09,1.0,10.0,LAC 25,10.0,14.0,Joshua Kelley right end for 7 yards (tackle by Ernest Jones),0.61,1.01,17.0,2022,254
2.0,3:33,2.0,3.0,LAC 32,10.0,14.0,"Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Taylor Rapp). Penalty on Keir Thomas: Defensive Holding, 5 yards (declined)",1.01,1.53,17.0,2022,254
2.0,3:12,1.0,10.0,LAC 39,10.0,14.0,Joshua Kelley left tackle for 1 yard (tackle by Nick Scott and Leonard Floyd),1.53,1.12,17.0,2022,254
2.0,2:37,2.0,9.0,LAC 40,10.0,14.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant),1.12,1.49,17.0,2022,254
2.0,2:00,3.0,1.0,LAC 48,10.0,14.0,Austin Ekeler right guard for 2 yards (tackle by Ernest Jones),1.49,2.26,17.0,2022,254
2.0,1:30,1.0,10.0,LAC 50,10.0,14.0,Justin Herbert pass complete deep left to Mike Williams for 18 yards,2.26,3.45,17.0,2022,254
2.0,1:25,1.0,10.0,LAR 32,10.0,14.0,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by Taylor Rapp),3.45,3.98,17.0,2022,254
2.0,1:01,2.0,2.0,LAR 24,10.0,14.0,"Justin Herbert sacked by Jalen Ramsey for no gain. Justin Herbert fumbles (forced by Jalen Ramsey), recovered by Justin Herbert at LA-44 Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass incomplete short left intended for Mike Williams (defended by Jalen Ramsey)",3.98,3.27,17.0,2022,254
2.0,0:58,3.0,2.0,LAR 24,10.0,14.0,Austin Ekeler left guard for 2 yards (tackle by Bobby Wagner and Ernest Jones),3.27,4.11,17.0,2022,254
2.0,0:31,1.0,10.0,LAR 22,10.0,14.0,Justin Herbert pass incomplete deep left intended for Mike Williams,4.11,3.56,17.0,2022,254
2.0,0:27,2.0,10.0,LAR 22,10.0,14.0,Justin Herbert pass incomplete short right intended for Keenan Allen,3.56,2.87,17.0,2022,254
2.0,0:23,3.0,10.0,LAR 22,10.0,14.0,Justin Herbert pass incomplete deep right intended for Josh Palmer,2.87,1.99,17.0,2022,254
2.0,0:18,4.0,10.0,LAR 22,10.0,17.0,Cameron Dicker 40 yard field goal good,1.99,3.0,17.0,2022,254
2.0,0:14,,,LAC 35,10.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
2.0,0:14,1.0,10.0,LAR 25,10.0,17.0,Baker Mayfield kneels for -1 yards,0.61,-0.07,17.0,2022,254
3.0,15:00,,,LAR 35,10.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,254
3.0,15:00,1.0,10.0,LAC 25,10.0,17.0,Justin Herbert pass complete short right to Austin Ekeler for 17 yards (tackle by Cobie Durant),0.61,1.73,17.0,2022,254
3.0,14:26,1.0,10.0,LAC 42,10.0,17.0,Austin Ekeler right guard for 3 yards (tackle by Ernest Jones and Earnest Brown),1.73,1.52,17.0,2022,254
3.0,13:45,2.0,8.0,LAC 45,10.0,17.0,Justin Herbert pass complete short right to Mike Williams for 14 yards (tackle by Troy Hill),1.52,2.85,17.0,2022,254
3.0,13:13,1.0,10.0,LAR 41,10.0,17.0,Joshua Kelley right tackle for 7 yards (tackle by Michael Hoecht and Taylor Rapp),2.85,3.25,17.0,2022,254
3.0,12:32,2.0,3.0,LAR 34,10.0,17.0,Austin Ekeler left end for 10 yards (tackle by Marquise Copeland),3.25,3.97,17.0,2022,254
3.0,11:52,1.0,10.0,LAR 24,10.0,17.0,Joshua Kelley left tackle for 5 yards (tackle by Ernest Jones),3.97,4.12,17.0,2022,254
3.0,11:14,2.0,5.0,LAR 19,10.0,17.0,Justin Herbert pass complete short left to Mike Williams for 4 yards (tackle by Jalen Ramsey),4.12,4.17,17.0,2022,254
