Unnamed: 0,ARI,ATL,week,year,game_id
First Downs,22,20,17.0,2022,242
Rush-Yds-TDs,27-126-0,34-132-2,17.0,2022,242
Cmp-Att-Yd-TD-INT,24-40-222-1-0,19-26-169-0-0,17.0,2022,242
Sacked-Yards,2-9,1-3,17.0,2022,242
Net Pass Yards,213,166,17.0,2022,242
Total Yards,339,298,17.0,2022,242
Fumbles-Lost,0-0,1-1,17.0,2022,242
Turnovers,0,1,17.0,2022,242
Penalties-Yards,8-50,5-70,17.0,2022,242
Third Down Conv.,4-11,5-11,17.0,2022,242
Fourth Down Conv.,0-1,1-2,17.0,2022,242
Time of Possession,27:36,32:24,17.0,2022,242
