Quarter,Time,Tm,Detail,LAR,LAC,week,year,game_id
1.0,1:09,Rams,Matt Gay 23 yard field goal,3,0,17.0,2022,254
2.0,13:40,Chargers,Austin Ekeler 10 yard rush (Cameron Dicker kick),3,7,17.0,2022,254
,8:25,Chargers,Austin Ekeler 72 yard rush (Cameron Dicker kick),3,14,17.0,2022,254
,4:09,Rams,Malcolm Brown 23 yard rush (Matt Gay kick),10,14,17.0,2022,254
,0:14,Chargers,Cameron Dicker 40 yard field goal,10,17,17.0,2022,254
3.0,8:46,Chargers,Gerald Everett 6 yard pass from Justin Herbert (Cameron Dicker kick),10,24,17.0,2022,254
4.0,12:12,Chargers,Donald Parham 3 yard pass from Justin Herbert (Cameron Dicker kick),10,31,17.0,2022,254
