Quarter,Time,Tm,Detail,ARI,ATL,week,year,game_id
1.0,8:24,Cardinals,Matt Prater 38 yard field goal,3,0,17.0,2022,242
2.0,13:38,Falcons,Tyler Allgeier 5 yard rush (Younghoe Koo kick),3,7,17.0,2022,242
,10:00,Cardinals,Trey McBride 4 yard pass from David Blough (Matt Prater kick),10,7,17.0,2022,242
,1:47,Falcons,Cordarrelle Patterson 5 yard rush (Younghoe Koo kick),10,14,17.0,2022,242
,0:02,Cardinals,Matt Prater 36 yard field goal,13,14,17.0,2022,242
3.0,9:00,Cardinals,Matt Prater 36 yard field goal,16,14,17.0,2022,242
4.0,9:36,Falcons,Younghoe Koo 27 yard field goal,16,17,17.0,2022,242
,4:57,Cardinals,Matt Prater 57 yard field goal,19,17,17.0,2022,242
,0:00,Falcons,Younghoe Koo 21 yard field goal,19,20,17.0,2022,242
