Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Dak Prescott,DAL,29,41,282,2,2,1,8,34,85.6,17.0,2022,241
Malik Davis,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
T.Y. Hilton,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Noah Brown,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Peyton Hendershot,DAL,0,0,0,0,0,0,0,0,,17.0,2022,241
Joshua Dobbs,TEN,20,39,232,1,1,2,12,39,67.5,17.0,2022,241
Hassan Haskins,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Jonathan Ward,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Treylon Burks,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Racey McMath,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Robert Woods,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
Julius Chestnut,TEN,0,0,0,0,0,0,0,0,,17.0,2022,241
