Quarter,Time,Tm,Detail,NYJ,SEA,week,year,game_id
1.0,13:25,Seahawks,Colby Parkinson 12 yard pass from Geno Smith (Jason Myers kick),0,7,17.0,2022,251
,6:37,Seahawks,Jason Myers 25 yard field goal,0,10,17.0,2022,251
,2:19,Jets,Greg Zuerlein 44 yard field goal,3,10,17.0,2022,251
2.0,14:15,Seahawks,Tyler Mabry 7 yard pass from Geno Smith (Jason Myers kick),3,17,17.0,2022,251
,8:00,Jets,Greg Zuerlein 44 yard field goal,6,17,17.0,2022,251
3.0,6:03,Seahawks,Jason Myers 31 yard field goal,6,20,17.0,2022,251
4.0,5:41,Seahawks,Jason Myers 31 yard field goal,6,23,17.0,2022,251
