Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Andy Dalton,NOR,0,0,0,0,0,17.0,2022,250
Taysom Hill,NOR,1,1,10,0,10,17.0,2022,250
Alvin Kamara,NOR,1,1,7,0,7,17.0,2022,250
Eno Benjamin,NOR,1,1,9,0,9,17.0,2022,250
Adam Prentice,NOR,1,1,4,0,4,17.0,2022,250
Rashid Shaheed,NOR,6,6,79,0,58,17.0,2022,250
Juwan Johnson,NOR,7,5,62,0,21,17.0,2022,250
Chris Olave,NOR,5,4,42,0,16,17.0,2022,250
Adam Trautman,NOR,1,1,16,0,16,17.0,2022,250
Gardner Minshew II,PHI,0,0,0,0,0,17.0,2022,250
Miles Sanders,PHI,0,0,0,0,0,17.0,2022,250
Boston Scott,PHI,1,0,0,0,0,17.0,2022,250
DeVonta Smith,PHI,13,9,115,0,28,17.0,2022,250
A.J. Brown,PHI,9,4,97,1,78,17.0,2022,250
Dallas Goedert,PHI,6,3,45,0,18,17.0,2022,250
Kenneth Gainwell,PHI,2,2,17,0,9,17.0,2022,250
Quez Watkins,PHI,1,0,0,0,0,17.0,2022,250
