Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Trevor Lawrence,JAX,17,21,152,0,1,1,8,30,77.0,17.0,2022,248
C.J. Beathard,JAX,5,8,29,0,1,1,5,11,29.7,17.0,2022,248
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Snoop Conner,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Evan Engram,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Marvin Jones,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Zay Jones,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Dan Arnold,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,17.0,2022,248
Davis Mills,HOU,22,40,202,0,0,1,9,29,69.0,17.0,2022,248
Jeff Driskel,HOU,3,4,9,0,0,1,9,5,77.1,17.0,2022,248
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Royce Freeman,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Amari Rodgers,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
O.J. Howard,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Chris Moore,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
Troy Hairston,HOU,0,0,0,0,0,0,0,0,,17.0,2022,248
