Quarter,Time,Down,ToGo,Location,ARI,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,17.0,2022,242
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,David Blough pass complete short middle to Greg Dortch for 3 yards (tackle by Rashaan Evans),0.61,0.47,17.0,2022,242
1.0,14:32,2.0,7.0,ARI 28,0.0,0.0,David Blough sacked by Isaiah Oliver for -7 yards,0.47,-1.15,17.0,2022,242
1.0,13:48,3.0,14.0,ARI 21,0.0,0.0,David Blough pass complete deep right to Marquise Brown for 17 yards (tackle by DeAundre Alford),-1.15,1.47,17.0,2022,242
1.0,13:26,1.0,10.0,ARI 38,0.0,0.0,James Conner right guard for 2 yards (tackle by Rashaan Evans and Abdullah Anderson),1.47,1.19,17.0,2022,242
1.0,12:53,2.0,8.0,ARI 40,0.0,0.0,David Blough pass complete short middle to Trey McBride for 16 yards (tackle by Richie Grant),1.19,2.65,17.0,2022,242
1.0,12:19,1.0,10.0,ATL 44,0.0,0.0,James Conner left guard for 1 yard (tackle by Abdullah Anderson and Jaylinn Hawkins),2.65,2.25,17.0,2022,242
1.0,11:38,2.0,9.0,ATL 43,0.0,0.0,David Blough pass complete short left to Trey McBride for 8 yards (tackle by Troy Andersen),2.25,2.61,17.0,2022,242
1.0,11:15,3.0,1.0,ATL 35,0.0,0.0,James Conner left tackle for 4 yards (tackle by Jaylinn Hawkins and Troy Andersen),2.61,3.51,17.0,2022,242
1.0,10:46,1.0,10.0,ATL 31,0.0,0.0,James Conner right guard for 7 yards (tackle by Richie Grant and Isaiah Oliver),3.51,3.91,17.0,2022,242
1.0,10:08,2.0,3.0,ATL 24,0.0,0.0,James Conner right tackle for 5 yards (tackle by Troy Andersen and Richie Grant),3.91,4.31,17.0,2022,242
1.0,9:43,1.0,10.0,ATL 19,0.0,0.0,David Blough pass complete short right to Marquise Brown for 9 yards (tackle by Cornell Armstrong),4.31,5.36,17.0,2022,242
1.0,9:11,2.0,1.0,ATL 10,0.0,0.0,"James Conner left end for no gain (tackle by AJ Terrell). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",5.36,3.63,17.0,2022,242
1.0,8:37,2.0,11.0,ATL 20,0.0,0.0,David Blough pass incomplete deep left intended for Greg Dortch,3.63,2.94,17.0,2022,242
1.0,8:32,3.0,11.0,ATL 20,0.0,0.0,David Blough pass incomplete short left intended for Greg Dortch (defended by DeAundre Alford),2.94,2.12,17.0,2022,242
1.0,8:28,4.0,11.0,ATL 20,3.0,0.0,Matt Prater 38 yard field goal good,2.12,3.0,17.0,2022,242
1.0,8:24,,,ARI 35,3.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,242
1.0,8:24,1.0,10.0,ATL 25,3.0,0.0,Desmond Ridder pass complete short right to Cordarrelle Patterson for 3 yards (tackle by Dennis Gardeck),0.61,0.47,17.0,2022,242
1.0,7:36,2.0,7.0,ATL 28,3.0,0.0,Cordarrelle Patterson left tackle for 3 yards (tackle by Dennis Gardeck),0.47,0.17,17.0,2022,242
1.0,7:03,3.0,4.0,ATL 31,3.0,0.0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.17,1.33,17.0,2022,242
1.0,6:47,1.0,10.0,ATL 36,3.0,0.0,"Penalty on Leki Fotu: Encroachment, 5 yards (accepted) (no play)",1.33,2.06,17.0,2022,242
1.0,6:35,1.0,5.0,ATL 41,3.0,0.0,Tyler Allgeier left end for -1 yards (tackle by Jonathan Ledbetter and Cameron Thomas),2.06,1.33,17.0,2022,242
1.0,6:00,2.0,6.0,ATL 40,3.0,0.0,Desmond Ridder pass complete short left to KhaDarel Hodge for 5 yards (tackle by Jace Whittaker),1.33,1.29,17.0,2022,242
1.0,5:24,3.0,1.0,ATL 45,3.0,0.0,Tyler Allgeier left guard for 5 yards (tackle by Jonathan Ledbetter and Jalen Thompson),1.29,2.26,17.0,2022,242
1.0,4:41,1.0,10.0,ATL 50,3.0,0.0,Desmond Ridder pass complete short right to MyCole Pruitt for 5 yards (tackle by Zaven Collins and Zeke Turner),2.26,2.39,17.0,2022,242
