Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Andy Dalton,NOR,18,22,205,0,1,6,38,58,86.6,17.0,2022,250
Taysom Hill,NOR,2,2,24,0,0,1,7,17,116.7,17.0,2022,250
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Eno Benjamin,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Adam Prentice,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Chris Olave,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Adam Trautman,NOR,0,0,0,0,0,0,0,0,,17.0,2022,250
Gardner Minshew II,PHI,18,32,274,1,1,6,28,78,82.0,17.0,2022,250
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
Boston Scott,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,17.0,2022,250
