Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,17.0,2022,241
1.0,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,241
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by Jack Gibbens),0.61,0.6,17.0,2022,241
1.0,14:27,2.0,6.0,DAL 29,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 13 yards (tackle by Tre Avery),0.6,1.73,17.0,2022,241
1.0,13:53,1.0,10.0,DAL 42,0.0,0.0,Ezekiel Elliott right guard for 4 yards (tackle by Rashad Weaver and Teair Tart),1.73,1.73,17.0,2022,241
1.0,13:21,2.0,6.0,DAL 46,0.0,0.0,Ezekiel Elliott up the middle for 3 yards (tackle by Rashad Weaver and Teair Tart),1.73,1.42,17.0,2022,241
1.0,12:47,3.0,3.0,DAL 49,0.0,0.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Rashad Weaver),1.42,-0.13,17.0,2022,241
1.0,12:40,4.0,3.0,DAL 49,0.0,0.0,"Bryan Anger punts 38 yards, fair catch by Robert Woods at TEN-13",-0.13,0.32,17.0,2022,241
1.0,12:34,1.0,10.0,TEN 13,0.0,0.0,Joshua Dobbs pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Anthony Barr),-0.32,0.61,17.0,2022,241
1.0,12:03,1.0,10.0,TEN 25,0.0,0.0,Hassan Haskins left guard for 1 yard (tackle by DeMarcus Lawrence),0.61,0.2,17.0,2022,241
1.0,11:19,2.0,9.0,TEN 26,0.0,0.0,"Joshua Dobbs left end for 3 yards (tackle by Jayron Kearse). Penalty on Treylon Burks: Offensive Holding, 10 yards (accepted)",0.2,-0.81,17.0,2022,241
1.0,11:14,2.0,16.0,TEN 19,0.0,0.0,Joshua Dobbs pass incomplete short middle intended for Racey McMath (defended by DeMarcus Lawrence),-0.81,-1.51,17.0,2022,241
1.0,10:56,3.0,16.0,TEN 19,0.0,0.0,Joshua Dobbs pass complete short right to Chigoziem Okonkwo for 10 yards (tackle by DeMarcus Lawrence and Malik Hooker),-1.51,-1.44,17.0,2022,241
1.0,10:15,4.0,6.0,TEN 29,0.0,0.0,"Ryan Stonehouse punts 49 yards, returned by KaVontae Turpin for 13 yards (tackle by Davontae Harris). Penalty on Davontae Harris: Illegal Motion, 5 yards (accepted)",-1.44,-1.6,17.0,2022,241
1.0,10:06,1.0,10.0,DAL 40,0.0,0.0,Ezekiel Elliott left guard for no gain (tackle by Teair Tart and Jack Gibbens),1.6,1.05,17.0,2022,241
1.0,9:37,2.0,10.0,DAL 40,0.0,0.0,"Dak Prescott pass complete to Dalton Schultz for no gain. Penalty on Teair Tart: Defensive Offside, 5 yards (accepted) (no play)",1.05,1.73,17.0,2022,241
1.0,9:24,2.0,5.0,DAL 45,0.0,0.0,Dak Prescott pass complete short middle to Dalton Schultz for 13 yards (tackle by Andrew Adams),1.73,2.79,17.0,2022,241
1.0,8:43,1.0,10.0,TEN 42,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for no gain (tackle by Roger McCreary),2.79,2.24,17.0,2022,241
1.0,8:17,2.0,10.0,TEN 42,0.0,0.0,Ezekiel Elliott left end for 5 yards (tackle by Joseph Jones),2.24,2.21,17.0,2022,241
