Unnamed: 0,PIT,BAL,week,year,game_id
First Downs,22,15,17.0,2022,255
Rush-Yds-TDs,41-198-0,28-120-0,17.0,2022,255
Cmp-Att-Yd-TD-INT,15-27-168-1-0,14-21-130-1-1,17.0,2022,255
Sacked-Yards,2-15,1-10,17.0,2022,255
Net Pass Yards,153,120,17.0,2022,255
Total Yards,351,240,17.0,2022,255
Fumbles-Lost,0-0,0-0,17.0,2022,255
Turnovers,0,1,17.0,2022,255
Penalties-Yards,6-43,4-30,17.0,2022,255
Third Down Conv.,10-16,5-12,17.0,2022,255
Fourth Down Conv.,0-0,0-0,17.0,2022,255
Time of Possession,34:14,25:46,17.0,2022,255
