Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,17.0,2022,249
1.0,15:00,,,NWE 35,0.0,0.0,"Nick Folk kicks off 63 yards, returned by Raheem Mostert for 21 yards (tackle by Adrian Phillips and Mack Wilson)",0.0,0.48,17.0,2022,249
1.0,14:55,1.0,10.0,MIA 23,0.0,0.0,Raheem Mostert left end for 2 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),0.48,0.2,17.0,2022,249
1.0,14:17,2.0,8.0,MIA 25,0.0,0.0,Teddy Bridgewater pass complete short middle to Tyreek Hill for 15 yards (tackle by Devin McCourty),0.2,1.6,17.0,2022,249
1.0,13:39,1.0,10.0,MIA 40,0.0,0.0,Raheem Mostert left guard for 2 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),1.6,1.32,17.0,2022,249
1.0,12:46,2.0,8.0,MIA 42,0.0,0.0,"Penalty on Teddy Bridgewater: False Start, 5 yards (accepted) (no play)",1.32,0.65,17.0,2022,249
1.0,12:29,2.0,13.0,MIA 37,0.0,0.0,Teddy Bridgewater pass complete short right to Trent Sherfield for 7 yards (tackle by Myles Bryant),0.65,0.89,17.0,2022,249
1.0,11:48,3.0,6.0,MIA 44,0.0,0.0,Teddy Bridgewater pass incomplete deep left intended for Tyreek Hill,0.89,-0.46,17.0,2022,249
1.0,11:42,4.0,6.0,MIA 44,0.0,0.0,"Thomas Morstead punts 45 yards, returned by Myles Bryant for 8 yards (tackle by Andrew Van Ginkel)",-0.46,-0.15,17.0,2022,249
1.0,11:33,1.0,10.0,NWE 19,0.0,0.0,Mac Jones pass incomplete short left intended for Jakobi Meyers (defended by Andrew Van Ginkel),0.15,-0.39,17.0,2022,249
1.0,11:30,2.0,10.0,NWE 19,0.0,0.0,Rhamondre Stevenson right guard for 5 yards (tackle by Elandon Roberts),-0.39,-0.42,17.0,2022,249
1.0,10:52,3.0,5.0,NWE 24,0.0,0.0,"Mac Jones pass incomplete short right intended for Nelson Agholor. Penalty on Keion Crossen: Defensive Pass Interference, 9 yards (accepted) (no play)",-0.42,1.14,17.0,2022,249
1.0,10:47,1.0,10.0,NWE 33,0.0,0.0,Mac Jones pass complete short right to Hunter Henry for 2 yards (tackle by Jerome Baker),1.14,0.86,17.0,2022,249
1.0,10:19,2.0,8.0,NWE 35,0.0,0.0,"Mac Jones pass complete deep right to Tyquan Thornton for 24 yards MIA challenged the pass completion ruling, and the play was upheld.",0.86,2.85,17.0,2022,249
1.0,10:09,1.0,10.0,MIA 41,0.0,0.0,Mac Jones pass complete short right to Jakobi Meyers for 17 yards (tackle by Keion Crossen and Jevon Holland),2.85,3.97,17.0,2022,249
1.0,9:31,1.0,10.0,MIA 24,0.0,0.0,Damien Harris right end for 8 yards (tackle by Jevon Holland),3.97,4.65,17.0,2022,249
1.0,8:48,2.0,2.0,MIA 16,0.0,0.0,Mac Jones pass incomplete deep right intended for Jakobi Meyers,4.65,3.95,17.0,2022,249
1.0,8:44,3.0,2.0,MIA 16,0.0,0.0,"Mac Jones pass incomplete deep left intended for Jakobi Meyers. Penalty on Kader Kohou: Defensive Holding, 5 yards (accepted) (no play)",3.95,4.84,17.0,2022,249
1.0,8:38,1.0,10.0,MIA 11,0.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Wilkins and John Jenkins),4.84,4.7,17.0,2022,249
1.0,7:55,,,,,,Timeout #1 by New England Patriots,,,17.0,2022,249
1.0,7:55,2.0,7.0,MIA 8,0.0,0.0,Rhamondre Stevenson left guard for 1 yard (tackle by Andrew Van Ginkel and Zach Sieler),4.7,3.98,17.0,2022,249
1.0,7:19,3.0,6.0,MIA 7,0.0,6.0,"Mac Jones pass complete short left to Tyquan Thornton for 7 yards, touchdown",3.98,7.0,17.0,2022,249
1.0,7:15,,,MIA 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,17.0,2022,249
1.0,7:15,,,NWE 35,0.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,249
1.0,7:15,1.0,10.0,MIA 25,0.0,7.0,Jeff Wilson right tackle for 3 yards (tackle by Davon Godchaux and Jahlani Tavai),0.61,0.47,17.0,2022,249
1.0,6:39,2.0,7.0,MIA 28,0.0,7.0,Teddy Bridgewater pass incomplete short right intended for Jeff Wilson,0.47,-0.23,17.0,2022,249
1.0,6:34,3.0,7.0,MIA 28,0.0,7.0,Teddy Bridgewater scrambles right end for 6 yards (tackle by Jabrill Peppers and Ja'Whaun Bentley),-0.23,-1.11,17.0,2022,249
1.0,5:39,,,,,,Timeout #2 by Miami Dolphins,,,17.0,2022,249
1.0,5:39,4.0,1.0,MIA 34,0.0,7.0,"Penalty on Robert Hunt: False Start, 5 yards (accepted) (no play)",-1.11,-1.44,17.0,2022,249
1.0,5:39,4.0,6.0,MIA 29,0.0,7.0,"Thomas Morstead punts out of bounds. Penalty on Brenden Schooler: Running Into the Kicker, 5 yards (accepted) (no play)",-1.44,-1.11,17.0,2022,249
1.0,5:32,4.0,1.0,MIA 34,0.0,7.0,Jeff Wilson right guard for 2 yards (tackle by Deatrich Wise),-1.11,1.33,17.0,2022,249
1.0,4:54,1.0,10.0,MIA 36,0.0,7.0,Jeff Wilson right end for 2 yards (tackle by Jonathan Jones),1.33,1.06,17.0,2022,249
1.0,4:07,2.0,8.0,MIA 38,0.0,7.0,Jeff Wilson right guard for 2 yards (tackle by Kyle Dugger and Davon Godchaux),1.06,0.63,17.0,2022,249
1.0,3:22,3.0,6.0,MIA 40,0.0,7.0,Teddy Bridgewater pass complete short middle to Jeff Wilson for 13 yards (tackle by Jahlani Tavai),0.63,2.46,17.0,2022,249
1.0,2:46,1.0,10.0,NWE 47,0.0,7.0,Jeff Wilson right tackle for 4 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),2.46,2.38,17.0,2022,249
1.0,2:02,2.0,7.0,NWE 43,0.0,7.0,Teddy Bridgewater pass complete deep left to Tyreek Hill for 19 yards,2.38,3.97,17.0,2022,249
1.0,1:35,1.0,10.0,NWE 24,0.0,7.0,Jeff Wilson left tackle for 5 yards (tackle by Jahlani Tavai and Deatrich Wise),3.97,4.12,17.0,2022,249
1.0,0:52,2.0,5.0,NWE 19,0.0,7.0,Teddy Bridgewater pass complete short right to Mike Gesicki for 14 yards (tackle by Devin McCourty),4.12,6.06,17.0,2022,249
1.0,0:13,1.0,5.0,NWE 5,0.0,7.0,Raheem Mostert right guard for 3 yards (tackle by Lawrence Guy),6.06,5.72,17.0,2022,249
2.0,15:00,2.0,2.0,NWE 2,6.0,7.0,"Tyreek Hill left tackle for 2 yards, touchdown",5.72,7.0,17.0,2022,249
2.0,14:55,,,NWE 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,17.0,2022,249
2.0,14:55,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,249
2.0,14:55,1.0,10.0,NWE 25,7.0,7.0,Mac Jones pass complete short middle to Damien Harris for 5 yards (tackle by Elandon Roberts),0.61,0.74,17.0,2022,249
2.0,14:21,2.0,5.0,NWE 30,7.0,7.0,Mac Jones pass complete short left to Jakobi Meyers for -1 yards (tackle by Kader Kohou),0.74,-0.1,17.0,2022,249
2.0,13:45,3.0,6.0,NWE 29,7.0,7.0,Mac Jones pass complete deep right to Hunter Henry for 29 yards (tackle by Jevon Holland),-0.1,2.79,17.0,2022,249
2.0,13:26,1.0,10.0,MIA 42,7.0,7.0,Mac Jones sacked by Christian Wilkins for -9 yards,2.79,1.03,17.0,2022,249
2.0,12:48,2.0,19.0,NWE 49,7.0,7.0,Rhamondre Stevenson right tackle for 18 yards (tackle by Eric Rowe),1.03,2.74,17.0,2022,249
2.0,12:02,3.0,1.0,MIA 33,7.0,7.0,Mac Jones sacked by Elandon Roberts for -12 yards,2.74,0.27,17.0,2022,249
2.0,11:27,4.0,13.0,MIA 45,7.0,7.0,"Michael Palardy punts 45 yards, touchback.",0.27,-0.28,17.0,2022,249
2.0,11:19,1.0,10.0,MIA 20,7.0,7.0,Raheem Mostert left end for 4 yards (tackle by Myles Bryant),0.28,0.27,17.0,2022,249
2.0,10:37,2.0,6.0,MIA 24,7.0,7.0,Teddy Bridgewater pass complete short right to Raheem Mostert for 8 yards (tackle by Raekwon McMillan),0.27,1.07,17.0,2022,249
2.0,9:56,1.0,10.0,MIA 32,7.0,7.0,Raheem Mostert left guard for 6 yards (tackle by Davon Godchaux),1.07,1.34,17.0,2022,249
2.0,9:25,2.0,4.0,MIA 38,7.0,7.0,Raheem Mostert up the middle for 1 yard (tackle by Lawrence Guy),1.34,0.76,17.0,2022,249
2.0,8:41,3.0,3.0,MIA 39,7.0,7.0,Teddy Bridgewater pass complete short right to Raheem Mostert for 25 yards (tackle by Josh Uche),0.76,3.18,17.0,2022,249
2.0,7:50,,,,,,Timeout #3 by Miami Dolphins,,,17.0,2022,249
2.0,7:50,1.0,10.0,NWE 36,7.0,7.0,Jeff Wilson right guard for 2 yards (tackle by Ja'Whaun Bentley),3.18,2.91,17.0,2022,249
