Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Russell Wilson,DEN,1,1,17.0,2022,247
Latavius Murray,DEN,0,0,17.0,2022,247
Chase Edmonds,DEN,0,0,17.0,2022,247
Albert Okwuegbunam,DEN,0,0,17.0,2022,247
Courtland Sutton,DEN,0,0,17.0,2022,247
Jerry Jeudy,DEN,0,0,17.0,2022,247
Eric Saubert,DEN,0,0,17.0,2022,247
Andrew Beck,DEN,0,0,17.0,2022,247
Kendall Hinton,DEN,0,0,17.0,2022,247
Patrick Mahomes,KAN,0,0,17.0,2022,247
Isiah Pacheco,KAN,0,0,17.0,2022,247
Jerick McKinnon,KAN,0,0,17.0,2022,247
Ronald Jones II,KAN,0,0,17.0,2022,247
Kadarius Toney,KAN,1,1,17.0,2022,247
Travis Kelce,KAN,0,0,17.0,2022,247
Skyy Moore,KAN,0,0,17.0,2022,247
Marquez Valdes-Scantling,KAN,0,0,17.0,2022,247
Justin Watson,KAN,0,0,17.0,2022,247
JuJu Smith-Schuster,KAN,0,0,17.0,2022,247
Blake Bell,KAN,0,0,17.0,2022,247
Noah Gray,KAN,0,0,17.0,2022,247
