Unnamed: 0,CHI,DET,week,year,game_id
First Downs,9,26,17.0,2022,244
Rush-Yds-TDs,22-200-0,39-265-2,17.0,2022,244
Cmp-Att-Yd-TD-INT,7-21-75-1-1,21-29-255-3-0,17.0,2022,244
Sacked-Yards,7-45,2-16,17.0,2022,244
Net Pass Yards,30,239,17.0,2022,244
Total Yards,230,504,17.0,2022,244
Fumbles-Lost,1-1,0-0,17.0,2022,244
Turnovers,2,0,17.0,2022,244
Penalties-Yards,3-49,6-42,17.0,2022,244
Third Down Conv.,3-13,4-12,17.0,2022,244
Fourth Down Conv.,0-1,0-1,17.0,2022,244
Time of Possession,24:17,35:43,17.0,2022,244
