Quarter,Time,Tm,Detail,MIA,NWE,week,year,game_id
1.0,7:15,Patriots,Tyquan Thornton 7 yard pass from Mac Jones (Nick Folk kick),0,7,17.0,2022,249
2.0,14:55,Dolphins,Tyreek Hill 2 yard rush (Jason Sanders kick),7,7,17.0,2022,249
3.0,9:17,Dolphins,Raheem Mostert 2 yard pass from Teddy Bridgewater (Jason Sanders kick),14,7,17.0,2022,249
,4:03,Patriots,Nick Folk 49 yard field goal,14,10,17.0,2022,249
,2:51,Patriots,Kyle Dugger 39 yard interception return (Nick Folk kick failed),14,16,17.0,2022,249
4.0,4:37,Patriots,Jakobi Meyers 2 yard pass from Mac Jones (Nick Folk kick),14,23,17.0,2022,249
,1:04,Dolphins,Mike Gesicki 4 yard pass from Skylar Thompson (Jason Sanders kick),21,23,17.0,2022,249
