Quarter,Time,Tm,Detail,PIT,BAL,week,year,game_id
1.0,7:01,Steelers,Chris Boswell 21 yard field goal,3,0,17.0,2022,255
2.0,14:09,Ravens,Justin Tucker 30 yard field goal,3,3,17.0,2022,255
,0:07,Ravens,Isaiah Likely 7 yard pass from Tyler Huntley (Justin Tucker kick),3,10,17.0,2022,255
3.0,9:31,Ravens,Justin Tucker 51 yard field goal,3,13,17.0,2022,255
,3:42,Steelers,Chris Boswell 51 yard field goal,6,13,17.0,2022,255
4.0,9:44,Steelers,Chris Boswell 33 yard field goal,9,13,17.0,2022,255
,0:56,Steelers,Najee Harris 10 yard pass from Kenny Pickett (Chris Boswell kick),16,13,17.0,2022,255
