Unnamed: 0,NOR,PHI,week,year,game_id
First Downs,19,11,17.0,2022,250
Rush-Yds-TDs,35-129-1,15-67-0,17.0,2022,250
Cmp-Att-Yd-TD-INT,20-24-229-0-1,18-32-274-1-1,17.0,2022,250
Sacked-Yards,7-45,6-28,17.0,2022,250
Net Pass Yards,184,246,17.0,2022,250
Total Yards,313,313,17.0,2022,250
Fumbles-Lost,0-0,2-0,17.0,2022,250
Turnovers,1,1,17.0,2022,250
Penalties-Yards,3-20,8-49,17.0,2022,250
Third Down Conv.,7-16,3-12,17.0,2022,250
Fourth Down Conv.,1-1,0-2,17.0,2022,250
Time of Possession,37:04,22:56,17.0,2022,250
