Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Panthers to receive the opening kickoff.",,,17.0,2022,243
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,243
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,Sam Darnold pass complete deep right to D.J. Moore for 26 yards (tackle by Antoine Winfield),0.61,2.32,17.0,2022,243
1.0,14:31,1.0,10.0,TAM 49,0.0,0.0,Sam Darnold pass complete short left to Shi Smith for 11 yards (tackle by Devin White and Lavonte David),2.32,3.05,17.0,2022,243
1.0,13:54,1.0,10.0,TAM 38,0.0,0.0,D'Onta Foreman up the middle for 4 yards (tackle by Devin White),3.05,3.05,17.0,2022,243
1.0,13:14,2.0,6.0,TAM 34,0.0,0.0,Sam Darnold pass complete short right to Laviska Shenault for 6 yards (tackle by Lavonte David),3.05,3.71,17.0,2022,243
1.0,12:37,1.0,10.0,TAM 28,0.0,0.0,D'Onta Foreman up the middle for 5 yards (tackle by Anthony Nelson and Mike Edwards),3.71,3.84,17.0,2022,243
1.0,11:50,2.0,5.0,TAM 23,0.0,0.0,"Sam Darnold pass incomplete deep left intended for D.J. Moore. Penalty on Antoine Winfield: Defensive Pass Interference, 6 yards (accepted) (no play)",3.84,4.44,17.0,2022,243
1.0,11:44,1.0,10.0,TAM 17,6.0,0.0,"Sam Darnold pass complete deep right to Tommy Tremble for 17 yards, touchdown",4.44,7.0,17.0,2022,243
1.0,11:39,,,TAM 15,7.0,0.0,Eddy Pineiro kicks extra point good,0.0,0.0,17.0,2022,243
1.0,11:39,,,CAR 35,7.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,243
1.0,11:39,1.0,10.0,TAM 25,7.0,0.0,"Tom Brady pass incomplete deep left intended for Mike Evans. Penalty on Keith Taylor: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,17.0,2022,243
1.0,11:34,1.0,10.0,TAM 30,7.0,0.0,Rachaad White up the middle for 7 yards (tackle by Shaq Thompson and Myles Hartsfield),0.94,1.34,17.0,2022,243
