Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Christian McCaffrey,SFO,19,121,1,6.0,78,4.1,43,2.3,0,,17.0,2022,252
Jordan Mason,SFO,2,13,1,1.0,7,3.5,6,3.0,0,,17.0,2022,252
Brock Purdy,SFO,2,-3,0,0.0,-3,-1.5,0,0.0,0,,17.0,2022,252
Brandon Aiyuk,SFO,1,16,0,1.0,11,11.0,5,5.0,0,,17.0,2022,252
Tyrion Davis-Price,SFO,1,5,0,1.0,2,2.0,3,3.0,0,,17.0,2022,252
Danny Gray,SFO,1,9,0,,2,2.0,7,7.0,0,,17.0,2022,252
Kyle Juszczyk,SFO,1,9,0,1.0,1,1.0,8,8.0,0,,17.0,2022,252
Josh Jacobs,LVR,17,69,1,4.0,32,1.9,37,2.2,0,,17.0,2022,252
Brandon Bolden,LVR,8,32,0,2.0,20,2.5,12,1.5,0,,17.0,2022,252
Jarrett Stidham,LVR,7,34,0,4.0,30,4.3,4,0.6,0,,17.0,2022,252
