Unnamed: 0,JAX,HOU,week,year,game_id
First Downs,20,13,17.0,2022,248
Rush-Yds-TDs,29-169-3,21-84-0,17.0,2022,248
Cmp-Att-Yd-TD-INT,22-29-181-0-2,25-44-211-0-0,17.0,2022,248
Sacked-Yards,2-13,2-18,17.0,2022,248
Net Pass Yards,168,193,17.0,2022,248
Total Yards,337,277,17.0,2022,248
Fumbles-Lost,1-0,1-1,17.0,2022,248
Turnovers,2,1,17.0,2022,248
Penalties-Yards,2-30,7-45,17.0,2022,248
Third Down Conv.,4-12,6-17,17.0,2022,248
Fourth Down Conv.,0-0,0-4,17.0,2022,248
Time of Possession,29:30,30:30,17.0,2022,248
