Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,,17.0,2022,253
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 52 yards, returned by Kene Nwangwu for 20 yards (tackle by Dallin Leavitt and Tyler Davis)",0.0,1.14,17.0,2022,253
1.0,14:55,1.0,10.0,MIN 33,0.0,0.0,Dalvin Cook up the middle for 4 yards (tackle by Kenny Clark and Kingsley Enagbare),1.14,1.13,17.0,2022,253
1.0,14:21,2.0,6.0,MIN 37,0.0,0.0,Dalvin Cook up the middle for 2 yards (tackle by Tedarrell Slaton and Jarran Reed),1.13,0.7,17.0,2022,253
1.0,13:40,3.0,4.0,MIN 39,0.0,0.0,Kirk Cousins pass incomplete short left intended for Adam Thielen (defended by Rasul Douglas),0.7,-0.78,17.0,2022,253
1.0,13:38,4.0,4.0,MIN 39,0.0,0.0,"Ryan Wright punts 55 yards, returned by Randall Cobb for 15 yards (tackle by Brian Asamoah)",-0.78,-0.34,17.0,2022,253
1.0,13:26,1.0,10.0,GNB 21,0.0,0.0,Aaron Jones up the middle for 6 yards (tackle by Patrick Peterson),0.34,0.61,17.0,2022,253
1.0,12:50,2.0,4.0,GNB 27,0.0,0.0,Aaron Rodgers pass complete short right to Aaron Jones for 1 yard (tackle by Eric Kendricks),0.61,0.04,17.0,2022,253
1.0,12:09,3.0,3.0,GNB 28,0.0,0.0,Aaron Rodgers pass incomplete deep right intended for Aaron Jones,0.04,-1.5,17.0,2022,253
1.0,11:59,4.0,3.0,GNB 28,0.0,0.0,Pat O'Donnell punts blocked by Josh Metellus (tackle by Patrick Jones),-1.5,-6.97,17.0,2022,253
1.0,11:50,1.0,1.0,GNB 1,0.0,0.0,Kirk Cousins pass incomplete short left intended for Adam Thielen,6.97,5.91,17.0,2022,253
1.0,11:45,2.0,1.0,GNB 1,0.0,0.0,Dalvin Cook up the middle for no gain (tackle by Jarran Reed and Preston Smith),5.91,5.17,17.0,2022,253
1.0,11:28,3.0,1.0,GNB 1,0.0,0.0,Dalvin Cook left guard for -1 yards (tackle by Tedarrell Slaton and Adrian Amos),5.17,3.25,17.0,2022,253
1.0,10:44,4.0,2.0,GNB 2,3.0,0.0,Greg Joseph 21 yard field goal good,3.25,3.0,17.0,2022,253
1.0,10:38,,,MIN 35,3.0,6.0,"Greg Joseph kicks off 70 yards, returned by Keisean Nixon for 105 yards, touchdown",0.0,7.0,17.0,2022,253
1.0,10:25,,,MIN 15,3.0,7.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2022,253
1.0,10:25,,,GNB 35,3.0,7.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,253
