Unnamed: 0,CAR,TAM,week,year,game_id
First Downs,22,25,17.0,2022,243
Rush-Yds-TDs,22-74-0,25-67-1,17.0,2022,243
Cmp-Att-Yd-TD-INT,23-37-341-3-1,34-45-432-3-0,17.0,2022,243
Sacked-Yards,2-15,3-21,17.0,2022,243
Net Pass Yards,326,411,17.0,2022,243
Total Yards,400,478,17.0,2022,243
Fumbles-Lost,6-2,1-1,17.0,2022,243
Turnovers,3,1,17.0,2022,243
Penalties-Yards,8-58,8-51,17.0,2022,243
Third Down Conv.,4-11,4-15,17.0,2022,243
Fourth Down Conv.,1-2,2-2,17.0,2022,243
Time of Possession,26:50,33:10,17.0,2022,243
