Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Browns to receive the opening kickoff.",,,17.0,2022,245
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,245
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Deshaun Watson pass incomplete short left intended for Donovan Peoples-Jones,0.61,0.06,17.0,2022,245
1.0,14:57,2.0,10.0,CLE 25,0.0,0.0,Deshaun Watson pass complete short middle to Nick Chubb for 12 yards (tackle by Darrick Forrest and Chase Young),0.06,1.4,17.0,2022,245
1.0,14:19,1.0,10.0,CLE 37,0.0,0.0,Nick Chubb left end for 8 yards (tackle by David Mayo and Jeremy Reaves),1.4,1.94,17.0,2022,245
1.0,13:40,2.0,2.0,CLE 45,0.0,0.0,"Nick Chubb left tackle for no gain (tackle by Chase Young). Penalty on Montez Sweat: Defensive Offside, 5 yards (accepted) (no play)",1.94,2.26,17.0,2022,245
1.0,13:24,1.0,10.0,WAS 50,0.0,0.0,"Deshaun Watson pass incomplete short left intended for David Njoku. Penalty on Joel Bitonio: Offensive Holding, 10 yards (accepted) (no play)",2.26,1.6,17.0,2022,245
1.0,13:16,1.0,20.0,CLE 40,0.0,0.0,Deshaun Watson pass incomplete short left intended for Harrison Bryant,1.6,0.36,17.0,2022,245
1.0,13:12,2.0,20.0,CLE 40,0.0,0.0,Deshaun Watson sacked by Daron Payne for -8 yards,0.36,-1.35,17.0,2022,245
1.0,12:29,3.0,28.0,CLE 32,0.0,0.0,Deshaun Watson pass complete short middle to Kareem Hunt for -1 yards (tackle by Montez Sweat),-1.35,-1.31,17.0,2022,245
1.0,11:51,4.0,29.0,CLE 31,0.0,0.0,"Corey Bojorquez punts 64 yards, returned by Dax Milne for 15 yards (tackle by Chase Winovich and D'Ernest Johnson)",-1.31,-0.28,17.0,2022,245
1.0,11:38,1.0,10.0,WAS 20,0.0,0.0,Jonathan Williams left end for 4 yards (tackle by Grant Delpit and Deion Jones),0.28,0.27,17.0,2022,245
