Unnamed: 0,MIN,GNB,week,year,game_id
First Downs,18,20,17.0,2022,253
Rush-Yds-TDs,20-102-0,33-163-2,17.0,2022,253
Cmp-Att-Yd-TD-INT,22-35-262-2-3,17-27-168-1-0,17.0,2022,253
Sacked-Yards,2-18,1-16,17.0,2022,253
Net Pass Yards,244,152,17.0,2022,253
Total Yards,346,315,17.0,2022,253
Fumbles-Lost,3-1,0-0,17.0,2022,253
Turnovers,4,0,17.0,2022,253
Penalties-Yards,6-35,3-30,17.0,2022,253
Third Down Conv.,5-12,7-12,17.0,2022,253
Fourth Down Conv.,1-2,0-1,17.0,2022,253
Time of Possession,25:56,34:04,17.0,2022,253
