Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,17.0,2022,251
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 62 yards, returned by Godwin Igwebuike for 24 yards (tackle by Tony Adams and Hamsah Nasirildeen)",0.0,0.74,17.0,2022,251
1.0,14:54,1.0,10.0,SEA 27,0.0,0.0,Kenneth Walker right guard for 60 yards (tackle by Lamarcus Joyner),0.74,4.71,17.0,2022,251
1.0,14:03,1.0,10.0,NYJ 13,0.0,0.0,Kenneth Walker right guard for 1 yard (tackle by Quincy Williams and John Franklin-Myers),4.71,4.22,17.0,2022,251
1.0,13:32,2.0,9.0,NYJ 12,0.0,6.0,"Geno Smith pass complete to Colby Parkinson for 12 yards, touchdown",4.22,7.0,17.0,2022,251
1.0,13:25,,,NYJ 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,17.0,2022,251
1.0,13:25,,,SEA 35,0.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,251
1.0,13:25,1.0,10.0,NYJ 25,0.0,7.0,Mike White pass incomplete short right intended for Corey Davis,0.61,0.06,17.0,2022,251
1.0,13:20,2.0,10.0,NYJ 25,0.0,7.0,Mike White pass complete deep right to Tyler Conklin for 17 yards (tackle by Johnathan Abram),0.06,1.73,17.0,2022,251
1.0,12:43,1.0,10.0,NYJ 42,0.0,7.0,Ty Johnson left tackle for 22 yards (tackle by Cody Barton),1.73,3.18,17.0,2022,251
1.0,12:10,1.0,10.0,SEA 36,0.0,7.0,Ty Johnson right tackle for 3 yards (tackle by Myles Adams),3.18,2.97,17.0,2022,251
1.0,11:29,2.0,8.0,SEA 33,0.0,7.0,Mike White pass incomplete short right intended for C.J. Uzomah,2.97,2.28,17.0,2022,251
1.0,11:23,3.0,8.0,SEA 33,0.0,7.0,Mike White pass deep left intended for Denzel Mims is intercepted by Quandre Diggs at SEA-10 and returned for 27 yards (tackle by Michael Carter),2.28,-1.4,17.0,2022,251
1.0,11:13,1.0,10.0,SEA 37,0.0,7.0,Kenneth Walker right guard for 11 yards (tackle by Quincy Williams),1.4,2.13,17.0,2022,251
1.0,10:37,1.0,10.0,SEA 48,0.0,7.0,Kenneth Walker right tackle for 6 yards (tackle by John Franklin-Myers and Sheldon Rankins),2.13,2.39,17.0,2022,251
1.0,10:00,2.0,4.0,NYJ 46,0.0,7.0,Geno Smith pass complete deep right to Noah Fant for 29 yards (tackle by Lamarcus Joyner),2.39,4.44,17.0,2022,251
1.0,9:18,1.0,10.0,NYJ 17,0.0,7.0,Geno Smith pass complete short right to Colby Parkinson for 7 yards (tackle by Kwon Alexander),4.44,5.1,17.0,2022,251
1.0,8:35,2.0,3.0,NYJ 10,0.0,7.0,Kenneth Walker left end for 4 yards (tackle by Jordan Whitehead),5.1,5.83,17.0,2022,251
1.0,8:06,1.0,6.0,NYJ 6,0.0,7.0,Kenneth Walker right guard for 2 yards (tackle by Sheldon Rankins),5.83,5.34,17.0,2022,251
