Unnamed: 0,NYJ,SEA,week,year,game_id
First Downs,20,20,17.0,2022,251
Rush-Yds-TDs,17-75-0,38-198-0,17.0,2022,251
Cmp-Att-Yd-TD-INT,23-46-240-0-2,18-29-183-2-0,17.0,2022,251
Sacked-Yards,4-36,4-35,17.0,2022,251
Net Pass Yards,204,148,17.0,2022,251
Total Yards,279,346,17.0,2022,251
Fumbles-Lost,1-1,2-0,17.0,2022,251
Turnovers,3,0,17.0,2022,251
Penalties-Yards,2-10,5-25,17.0,2022,251
Third Down Conv.,4-13,5-15,17.0,2022,251
Fourth Down Conv.,0-2,1-2,17.0,2022,251
Time of Possession,26:22,33:38,17.0,2022,251
