Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Colts to receive the opening kickoff.",,,17.0,2022,246
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,246
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Zack Moss up the middle for -3 yards (tackle by Kayvon Thibodeaux),0.61,-0.34,17.0,2022,246
1.0,14:25,2.0,13.0,IND 22,0.0,0.0,Zack Moss right tackle for 6 yards (tackle by Jaylon Smith and Landon Collins),-0.34,-0.23,17.0,2022,246
1.0,13:38,3.0,7.0,IND 28,0.0,0.0,"Nick Foles pass incomplete short left intended for Parris Campbell. Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",-0.23,1.14,17.0,2022,246
1.0,13:38,1.0,10.0,IND 33,0.0,0.0,Nick Foles pass complete short left to Parris Campbell for 1 yard (tackle by Nick McCloud and Leonard Williams),1.14,0.73,17.0,2022,246
1.0,12:57,2.0,9.0,IND 34,0.0,0.0,Zack Moss left tackle for 3 yards (tackle by Dexter Lawrence),0.73,0.43,17.0,2022,246
1.0,12:25,3.0,6.0,IND 37,0.0,0.0,Nick Foles pass incomplete deep right intended for Michael Pittman,0.43,-0.91,17.0,2022,246
1.0,12:20,4.0,6.0,IND 37,0.0,0.0,"Matt Haack punts 42 yards, fair catch by Richie James at NYG-21",-0.91,-0.34,17.0,2022,246
1.0,12:12,1.0,10.0,NYG 21,0.0,0.0,Daniel Jones pass incomplete deep right intended for Darius Slayton (defended by Zaire Franklin),0.34,-0.2,17.0,2022,246
1.0,12:07,2.0,10.0,NYG 21,0.0,0.0,Daniel Jones pass complete short middle to Richie James for 16 yards (tackle by Rodney Thomas),-0.2,1.4,17.0,2022,246
1.0,11:34,1.0,10.0,NYG 37,0.0,0.0,Saquon Barkley right tackle for 2 yards (tackle by Rodney Thomas and Grover Stewart),1.4,1.13,17.0,2022,246
1.0,10:56,2.0,8.0,NYG 39,0.0,0.0,Daniel Jones pass complete short left to Richie James for 7 yards (tackle by Brandon Facyson),1.13,1.36,17.0,2022,246
1.0,10:21,3.0,1.0,NYG 46,0.0,0.0,Daniel Jones up the middle for 2 yards (tackle by Zaire Franklin),1.36,2.13,17.0,2022,246
1.0,9:43,1.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for -3 yards (tackle by Bobby Okereke),2.13,1.18,17.0,2022,246
1.0,9:06,2.0,13.0,NYG 45,0.0,0.0,Daniel Jones pass complete short right to Matt Breida for 8 yards (tackle by Julian Blackmon),1.18,1.55,17.0,2022,246
1.0,8:30,3.0,5.0,IND 47,0.0,0.0,Daniel Jones pass incomplete short middle intended for Isaiah Hodgins,1.55,0.13,17.0,2022,246
1.0,8:26,4.0,5.0,IND 47,0.0,0.0,"Jamie Gillan punts 47 yards, touchback.",0.13,-0.28,17.0,2022,246
1.0,8:16,1.0,10.0,IND 20,0.0,0.0,Zack Moss right end for 5 yards (tackle by Kayvon Thibodeaux and Leonard Williams),0.28,0.41,17.0,2022,246
1.0,7:42,2.0,5.0,IND 25,0.0,0.0,Zack Moss up the middle for 10 yards (tackle by Micah McFadden and Jaylon Smith),0.41,1.27,17.0,2022,246
1.0,7:13,1.0,10.0,IND 35,0.0,0.0,"Zack Moss left guard for 8 yards (tackle by Jaylon Smith and Xavier McKinney). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,17.0,2022,246
1.0,6:52,1.0,20.0,IND 25,0.0,0.0,Nick Foles scrambles up the middle for 8 yards (tackle by Oshane Ximines),0.61,0.45,17.0,2022,246
1.0,6:17,2.0,12.0,IND 33,0.0,0.0,Jordan Wilkins right guard for 4 yards (tackle by Jaylon Smith),0.45,0.3,17.0,2022,246
1.0,5:32,3.0,8.0,IND 37,0.0,0.0,Nick Foles pass complete deep middle to Parris Campbell for 49 yards (tackle by Xavier McKinney),0.3,4.65,17.0,2022,246
1.0,4:45,1.0,10.0,NYG 14,0.0,0.0,Jordan Wilkins right tackle for 3 yards (tackle by Kayvon Thibodeaux and Jaylon Smith),4.65,4.52,17.0,2022,246
1.0,4:00,2.0,7.0,NYG 11,0.0,0.0,Jordan Wilkins right tackle for 2 yards (tackle by Micah McFadden and Jihad Ward),4.52,4.05,17.0,2022,246
1.0,3:17,3.0,5.0,NYG 9,0.0,0.0,Nick Foles pass complete short right to Jordan Wilkins for 4 yards (tackle by Tony Jefferson and Landon Collins),4.05,3.03,17.0,2022,246
1.0,2:29,,,,,,Timeout #1 by Indianapolis Colts,,,17.0,2022,246
1.0,2:29,4.0,1.0,NYG 5,3.0,0.0,Chase McLaughlin 23 yard field goal good,3.03,3.0,17.0,2022,246
1.0,2:26,,,IND 35,3.0,0.0,"Chase McLaughlin kicks off 53 yards, returned by Gary Brightwell for 17 yards (tackle by JoJo Domann)",0.0,0.87,17.0,2022,246
1.0,2:21,1.0,10.0,NYG 29,3.0,0.0,Saquon Barkley right end for 5 yards (tackle by Dallis Flowers),0.87,1.0,17.0,2022,246
1.0,1:46,2.0,5.0,NYG 34,3.0,0.0,Matt Breida right guard for 8 yards (tackle by Chris Williams and Zaire Franklin),1.0,1.73,17.0,2022,246
1.0,1:13,1.0,10.0,NYG 42,3.0,0.0,Saquon Barkley left guard for 5 yards (tackle by Julian Blackmon and Bobby Okereke),1.73,1.86,17.0,2022,246
1.0,0:38,2.0,5.0,NYG 47,3.0,0.0,Daniel Jones scrambles up the middle for 5 yards (tackle by Julian Blackmon),1.86,2.39,17.0,2022,246
2.0,15:00,1.0,10.0,IND 48,3.0,0.0,Saquon Barkley right guard for 7 yards (tackle by Bobby Okereke),2.39,2.79,17.0,2022,246
2.0,14:27,2.0,3.0,IND 41,3.0,0.0,Saquon Barkley left tackle for 19 yards (tackle by Zaire Franklin),2.79,4.11,17.0,2022,246
2.0,13:47,1.0,10.0,IND 22,3.0,0.0,Matt Breida left tackle for 1 yard (tackle by Kwity Paye),4.11,3.7,17.0,2022,246
2.0,13:09,2.0,9.0,IND 21,3.0,0.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 12 yards (tackle by Dallis Flowers and Bobby Okereke),3.7,5.14,17.0,2022,246
