Quarter,Time,Tm,Detail,NOR,PHI,week,year,game_id
1.0,6:02,Saints,Taysom Hill 1 yard rush (Wil Lutz kick),7,0,17.0,2022,250
2.0,8:30,Saints,Wil Lutz 54 yard field goal,10,0,17.0,2022,250
,3:05,Saints,Wil Lutz 20 yard field goal,13,0,17.0,2022,250
3.0,10:58,Eagles,Jake Elliott 56 yard field goal,13,3,17.0,2022,250
,0:45,Eagles,A.J. Brown 78 yard pass from Gardner Minshew II (Jake Elliott kick),13,10,17.0,2022,250
4.0,5:27,Saints,Marshon Lattimore 12 yard interception return (Wil Lutz kick),20,10,17.0,2022,250
