Quarter,Time,Tm,Detail,DAL,TEN,week,year,game_id
1.0,4:36,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),7,0,17.0,2022,241
2.0,14:56,Cowboys,Brett Maher 36 yard field goal,10,0,17.0,2022,241
,1:04,Titans,Randy Bullock 37 yard field goal,10,3,17.0,2022,241
,0:00,Titans,Randy Bullock 29 yard field goal,10,6,17.0,2022,241
3.0,8:48,Cowboys,Dalton Schultz 6 yard pass from Dak Prescott (Brett Maher kick),17,6,17.0,2022,241
,2:04,Titans,Robert Woods 7 yard pass from Joshua Dobbs (Randy Bullock kick),17,13,17.0,2022,241
4.0,11:58,Cowboys,Dalton Schultz 10 yard pass from Dak Prescott (Brett Maher kick),24,13,17.0,2022,241
,6:24,Cowboys,Brett Maher 45 yard field goal,27,13,17.0,2022,241
