Quarter,Time,Tm,Detail,CLE,WAS,week,year,game_id
1.0,9:22,Browns,Cade York 37 yard field goal,3,0,17.0,2022,245
2.0,0:21,Commanders,Carson Wentz 1 yard rush (Joey Slye kick),3,7,17.0,2022,245
3.0,10:01,Browns,Amari Cooper 46 yard pass from Deshaun Watson (Cade York kick),10,7,17.0,2022,245
,0:36,Browns,Donovan Peoples-Jones 13 yard pass from Deshaun Watson (Cade York kick),17,7,17.0,2022,245
4.0,10:26,Commanders,Joey Slye 43 yard field goal,17,10,17.0,2022,245
,5:21,Browns,Amari Cooper 33 yard pass from Deshaun Watson (Cade York kick),24,10,17.0,2022,245
