Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Damien Lewis,G,72,100%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Stone Forsythe,T,72,100%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Charles Cross,T,72,100%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Geno Smith,QB,72,100%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Austin Blythe,C,72,100%,0,0%,0,0%,1,Seahawks,17.0,2022,251
D.K. Metcalf,WR,59,82%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Colby Parkinson,TE,58,81%,0,0%,11,44%,1,Seahawks,17.0,2022,251
Gabe Jackson,G,49,68%,0,0%,2,8%,1,Seahawks,17.0,2022,251
Noah Fant,TE,45,63%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Kenneth Walker III,RB,41,57%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Laquon Treadwell,WR,39,54%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Dareke Young,WR,27,38%,0,0%,15,60%,1,Seahawks,17.0,2022,251
DeeJay Dallas,RB,27,38%,0,0%,14,56%,1,Seahawks,17.0,2022,251
Cade Johnson,WR,26,36%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Phil Haynes,G,23,32%,0,0%,4,16%,1,Seahawks,17.0,2022,251
Tyler Lockett,WR,23,32%,0,0%,0,0%,1,Seahawks,17.0,2022,251
Jake Curhan,T,6,8%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Godwin Igwebuike,RB,4,6%,0,0%,16,64%,1,Seahawks,17.0,2022,251
Tyler Mabry,TE,3,4%,0,0%,9,36%,1,Seahawks,17.0,2022,251
Nick Bellore,LB,2,3%,0,0%,19,76%,1,Seahawks,17.0,2022,251
Johnathan Abram,SS,0,0%,70,100%,8,32%,1,Seahawks,17.0,2022,251
Riq Woolen,CB,0,0%,70,100%,6,24%,1,Seahawks,17.0,2022,251
Michael Jackson,CB,0,0%,70,100%,3,12%,1,Seahawks,17.0,2022,251
Quandre Diggs,FS,0,0%,70,100%,0,0%,1,Seahawks,17.0,2022,251
Cody Barton,LB,0,0%,62,88%,10,40%,1,Seahawks,17.0,2022,251
Uchenna Nwosu,LB,0,0%,60,86%,2,8%,1,Seahawks,17.0,2022,251
Coby Bryant,CB,0,0%,44,63%,0,0%,1,Seahawks,17.0,2022,251
Darrell Taylor,LB,0,0%,43,61%,3,12%,1,Seahawks,17.0,2022,251
Shelby Harris,DE,0,0%,36,51%,3,12%,1,Seahawks,17.0,2022,251
Teez Tabor,FS,0,0%,33,47%,7,28%,1,Seahawks,17.0,2022,251
Poona Ford,DE,0,0%,33,47%,3,12%,1,Seahawks,17.0,2022,251
Quinton Jefferson,DE,0,0%,29,41%,1,4%,1,Seahawks,17.0,2022,251
Boye Mafe,LB,0,0%,26,37%,10,40%,1,Seahawks,17.0,2022,251
Jordyn Brooks,LB,0,0%,26,37%,0,0%,1,Seahawks,17.0,2022,251
Tanner Muse,LB,0,0%,20,29%,16,64%,1,Seahawks,17.0,2022,251
L.J. Collier,DE,0,0%,20,29%,3,12%,1,Seahawks,17.0,2022,251
Myles Adams,DE,0,0%,20,29%,0,0%,1,Seahawks,17.0,2022,251
Al Woods,NT,0,0%,19,27%,4,16%,1,Seahawks,17.0,2022,251
Bruce Irvin,LB,0,0%,11,16%,0,0%,1,Seahawks,17.0,2022,251
Justin Coleman,CB,0,0%,9,13%,9,36%,1,Seahawks,17.0,2022,251
Jon Rhattigan,LB,0,0%,0,0%,16,64%,1,Seahawks,17.0,2022,251
Jason Myers,K,0,0%,0,0%,12,48%,1,Seahawks,17.0,2022,251
Xavier Crawford,CB,0,0%,0,0%,12,48%,1,Seahawks,17.0,2022,251
Carson Tinker,LS,0,0%,0,0%,10,40%,1,Seahawks,17.0,2022,251
Michael Dickson,P,0,0%,0,0%,10,40%,1,Seahawks,17.0,2022,251
Kyle Fuller,G,0,0%,0,0%,6,24%,1,Seahawks,17.0,2022,251
Tre Brown,DB,0,0%,0,0%,1,4%,1,Seahawks,17.0,2022,251
