Unnamed: 0,SFO,LVR,week,year,game_id
First Downs,27,29,17.0,2022,252
Rush-Yds-TDs,27-170-2,32-135-1,17.0,2022,252
Cmp-Att-Yd-TD-INT,22-35-284-2-1,23-34-365-3-2,17.0,2022,252
Sacked-Yards,0-0,0-0,17.0,2022,252
Net Pass Yards,284,365,17.0,2022,252
Total Yards,454,500,17.0,2022,252
Fumbles-Lost,0-0,1-0,17.0,2022,252
Turnovers,1,2,17.0,2022,252
Penalties-Yards,9-71,6-49,17.0,2022,252
Third Down Conv.,4-8,4-10,17.0,2022,252
Fourth Down Conv.,0-0,0-1,17.0,2022,252
Time of Possession,31:07,32:00,17.0,2022,252
