Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Saints to receive the opening kickoff.",,,17.0,2022,250
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,250
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Andy Dalton pass complete short left to Chris Olave for 16 yards (tackle by Darius Slay),0.61,1.66,17.0,2022,250
1.0,14:26,1.0,10.0,NOR 41,0.0,0.0,Alvin Kamara left tackle for 6 yards (tackle by Fletcher Cox),1.66,1.93,17.0,2022,250
1.0,13:51,2.0,4.0,NOR 47,0.0,0.0,Taysom Hill right end for no gain (tackle by T.J. Edwards),1.93,1.22,17.0,2022,250
1.0,13:14,3.0,4.0,NOR 47,0.0,0.0,Andy Dalton pass complete short right to Juwan Johnson for 10 yards (tackle by T.J. Edwards),1.22,2.72,17.0,2022,250
1.0,12:34,1.0,10.0,PHI 43,0.0,0.0,Andy Dalton pass complete short right to Rashid Shaheed for 4 yards (tackle by Marcus Epps),2.72,2.72,17.0,2022,250
1.0,11:56,2.0,6.0,PHI 39,0.0,0.0,Alvin Kamara left end for 3 yards (tackle by Kyzir White),2.72,2.41,17.0,2022,250
1.0,11:15,3.0,3.0,PHI 36,0.0,0.0,Andy Dalton pass complete short right to Chris Olave for 8 yards (tackle by Josiah Scott),2.41,3.71,17.0,2022,250
1.0,10:41,1.0,10.0,PHI 28,0.0,0.0,Andy Dalton pass complete short left to Rashid Shaheed for 2 yards (tackle by Darius Slay),3.71,3.44,17.0,2022,250
1.0,10:06,2.0,8.0,PHI 26,0.0,0.0,Taysom Hill pass complete short right to Chris Olave for 7 yards (tackle by Haason Reddick),3.44,3.72,17.0,2022,250
1.0,9:32,3.0,1.0,PHI 19,0.0,0.0,Adam Prentice up the middle for 2 yards (tackle by Josh Sweat and Fletcher Cox),3.72,4.44,17.0,2022,250
1.0,8:59,1.0,10.0,PHI 17,0.0,0.0,Alvin Kamara right end for 4 yards (tackle by Javon Hargrave and Linval Joseph),4.44,4.5,17.0,2022,250
1.0,8:15,2.0,6.0,PHI 13,0.0,0.0,"Andy Dalton pass incomplete. Penalty on Erik McCoy: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.5,3.72,17.0,2022,250
1.0,8:15,2.0,11.0,PHI 18,0.0,0.0,Eno Benjamin left end for 8 yards (tackle by Reed Blankenship),3.72,4.34,17.0,2022,250
1.0,7:28,3.0,3.0,PHI 10,0.0,0.0,Taysom Hill left guard for 1 yard (tackle by James Bradberry and Reed Blankenship),4.34,2.95,17.0,2022,250
1.0,6:48,4.0,2.0,PHI 9,0.0,0.0,Taysom Hill right guard for 8 yards (tackle by Reed Blankenship),2.95,6.97,17.0,2022,250
1.0,6:07,1.0,1.0,PHI 1,6.0,0.0,"Taysom Hill left end for 1 yard, touchdown",6.97,7.0,17.0,2022,250
1.0,6:02,,,PHI 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,17.0,2022,250
1.0,6:02,,,NOR 35,7.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,17.0,2022,250
1.0,6:02,1.0,10.0,PHI 25,7.0,0.0,Gardner Minshew sacked by Kaden Elliss for -6 yards,0.61,-0.81,17.0,2022,250
1.0,5:22,2.0,16.0,PHI 19,7.0,0.0,Gardner Minshew sacked by and Carl Granderson for no gain and Kaden Elliss for no gain,-0.81,-1.58,17.0,2022,250
1.0,4:35,3.0,17.0,PHI 19,7.0,0.0,Gardner Minshew pass complete short right to Kenneth Gainwell for 8 yards (tackle by David Onyemata),-1.58,-1.57,17.0,2022,250
