Quarter,Time,Tm,Detail,DEN,KAN,week,year,game_id
1.0,7:35,Chiefs,Isiah Pacheco 5 yard rush (run failed),0,6,17.0,2022,247
2.0,10:46,Broncos,Brandon McManus 49 yard field goal,3,6,17.0,2022,247
,4:40,Broncos,Russell Wilson 16 yard rush (Brandon McManus kick),10,6,17.0,2022,247
,1:02,Chiefs,Jerick McKinnon 6 yard pass from Patrick Mahomes (Harrison Butker kick),10,13,17.0,2022,247
3.0,6:35,Broncos,Albert Okwuegbunam 25 yard pass from Russell Wilson (Brandon McManus kick),17,13,17.0,2022,247
4.0,14:50,Chiefs,Blake Bell 17 yard pass from Patrick Mahomes (Harrison Butker kick),17,20,17.0,2022,247
,12:36,Chiefs,Jerick McKinnon 3 yard pass from Patrick Mahomes (Harrison Butker kick),17,27,17.0,2022,247
,6:14,Broncos,Russell Wilson 4 yard rush (Brandon McManus kick),24,27,17.0,2022,247
