Unnamed: 0,LAR,LAC,week,year,game_id
First Downs,12,22,17.0,2022,254
Rush-Yds-TDs,26-166-1,31-192-2,17.0,2022,254
Cmp-Att-Yd-TD-INT,11-19-132-0-0,24-31-239-2-0,17.0,2022,254
Sacked-Yards,3-21,0-0,17.0,2022,254
Net Pass Yards,111,239,17.0,2022,254
Total Yards,277,431,17.0,2022,254
Fumbles-Lost,1-1,0-0,17.0,2022,254
Turnovers,1,0,17.0,2022,254
Penalties-Yards,3-22,2-19,17.0,2022,254
Third Down Conv.,4-11,8-13,17.0,2022,254
Fourth Down Conv.,0-0,0-0,17.0,2022,254
Time of Possession,28:08,31:52,17.0,2022,254
