Unnamed: 0,DEN,KAN,week,year,game_id
First Downs,21,22,17.0,2022,247
Rush-Yds-TDs,24-117-2,16-46-1,17.0,2022,247
Cmp-Att-Yd-TD-INT,26-38-222-1-1,29-42-328-3-1,17.0,2022,247
Sacked-Yards,4-32,0-0,17.0,2022,247
Net Pass Yards,190,328,17.0,2022,247
Total Yards,307,374,17.0,2022,247
Fumbles-Lost,1-1,1-1,17.0,2022,247
Turnovers,2,2,17.0,2022,247
Penalties-Yards,3-23,5-31,17.0,2022,247
Third Down Conv.,3-12,2-9,17.0,2022,247
Fourth Down Conv.,1-2,1-1,17.0,2022,247
Time of Possession,33:06,26:54,17.0,2022,247
