Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Texans to receive the opening kickoff.",,,17.0,2022,248
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 67 yards, returned by Tremon Smith for 28 yards (tackle by Chad Muma)",0.0,0.67,17.0,2022,248
1.0,14:55,1.0,10.0,HOU 26,0.0,0.0,Dare Ogunbowale left tackle for 9 yards (tackle by Foyesade Oluokun and Josh Allen),0.67,1.35,17.0,2022,248
1.0,14:22,2.0,1.0,HOU 35,0.0,0.0,Davis Mills pass incomplete short right intended for O.J. Howard,1.35,0.63,17.0,2022,248
1.0,14:17,3.0,1.0,HOU 35,0.0,0.0,Dare Ogunbowale right tackle for 1 yard (tackle by Foyesade Oluokun and Darious Williams),0.63,1.33,17.0,2022,248
1.0,13:33,1.0,10.0,HOU 36,0.0,0.0,Dare Ogunbowale right guard for 7 yards (tackle by Josh Allen),1.33,1.74,17.0,2022,248
1.0,12:58,2.0,3.0,HOU 43,0.0,0.0,Dare Ogunbowale up the middle for 2 yards (tackle by Devin Lloyd and Arden Key),1.74,1.29,17.0,2022,248
1.0,12:15,3.0,1.0,HOU 45,0.0,0.0,Dare Ogunbowale up the middle for no gain (tackle by Devin Lloyd and Corey Peters),1.29,-0.39,17.0,2022,248
1.0,11:35,4.0,1.0,HOU 45,0.0,0.0,Jeff Driskel up the middle for no gain (tackle by Rayshawn Jenkins and Darious Williams),-0.39,-2.59,17.0,2022,248
1.0,11:30,1.0,10.0,HOU 45,0.0,0.0,Trevor Lawrence pass complete short middle to Christian Kirk for 13 yards (tackle by Jalen Pitre),2.59,3.45,17.0,2022,248
1.0,11:04,1.0,10.0,HOU 32,0.0,0.0,Travis Etienne left guard for 9 yards (tackle by Desmond King and Jalen Pitre),3.45,4.12,17.0,2022,248
1.0,10:40,2.0,1.0,HOU 23,0.0,0.0,Trevor Lawrence left end for 4 yards (tackle by Jalen Pitre),4.12,4.31,17.0,2022,248
1.0,10:19,1.0,10.0,HOU 19,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,4.31,3.75,17.0,2022,248
1.0,10:13,2.0,10.0,HOU 19,0.0,0.0,Trevor Lawrence pass complete short left to Marvin Jones for 14 yards (tackle by Jalen Pitre),3.75,6.06,17.0,2022,248
1.0,9:49,1.0,5.0,HOU 5,0.0,0.0,Travis Etienne right guard for -2 yards (tackle by Roy Lopez and Jerry Hughes),6.06,4.76,17.0,2022,248
