Rk,Tm,G,#Dr,Plays,Sc%,TO%,Average Drive Plays,Average Drive Yds,Average Drive Start,Average Drive Time,Average Drive Pts,year,week
1.0,Cleveland Browns,17.0,222,1221,32.9,16.2,5.5,25.6,Own 29.7,2:28,1.69,2023,18
2.0,New York Jets,17.0,208,1092,26.0,13.9,5.3,21.8,Own 30.3,2:23,1.13,2023,18
3.0,New England Patriots,17.0,203,1045,20.2,14.3,5.1,23.1,Own 26.2,2:21,1.1,2023,18
4.0,New York Giants,17.0,199,1088,23.6,8.5,5.5,23.8,Own 28.8,2:31,1.21,2023,18
5.0,Washington Commanders,17.0,197,1084,29.4,15.2,5.5,26.9,Own 27.4,2:33,1.68,2023,18
6.0,Baltimore Ravens,17.0,197,1113,43.1,9.6,5.6,31.8,Own 32.8,2:42,2.37,2023,18
7.0,Atlanta Falcons,17.0,196,1129,32.1,14.3,5.8,28.8,Own 27.5,2:32,1.6,2023,18
8.0,Indianapolis Colts,17.0,196,1135,35.7,9.2,5.8,29.2,Own 28.3,2:33,1.83,2023,18
9.0,Jacksonville Jaguars,17.0,195,1151,35.4,14.9,5.9,29.5,Own 31.2,2:42,1.86,2023,18
10.0,Pittsburgh Steelers,17.0,194,1060,29.9,7.7,5.5,26.6,Own 28.4,2:36,1.49,2023,18
11.0,New Orleans Saints,17.0,194,1158,36.6,8.2,6.0,29.6,Own 31.2,2:44,1.94,2023,18
12.0,Houston Texans,17.0,191,1121,37.2,7.3,5.9,30.4,Own 27.1,2:39,1.89,2023,18
13.0,Los Angeles Chargers,17.0,190,1139,34.7,10.5,6.0,29.4,Own 26.9,2:35,1.78,2023,18
14.0,Denver Broncos,17.0,189,1051,34.9,10.6,5.6,26.8,Own 30.8,2:39,1.81,2023,18
15.0,Cincinnati Bengals,17.0,188,1079,34.6,8.5,5.7,28.8,Own 28.0,2:48,1.87,2023,18
16.0,Detroit Lions,17.0,187,1158,40.6,11.8,6.2,35.8,Own 30.4,2:51,2.44,2023,18
17.0,Miami Dolphins,17.0,186,1081,43.5,13.4,5.8,36.5,Own 29.6,2:45,2.53,2023,18
18.0,Los Angeles Rams,17.0,185,1137,41.1,9.2,6.1,33.0,Own 28.6,2:50,2.18,2023,18
19.0,Chicago Bears,17.0,184,1132,38.0,13.0,6.2,29.8,Own 29.8,2:57,1.9,2023,18
20.0,Tampa Bay Buccaneers,17.0,183,1078,35.5,9.8,5.9,29.1,Own 28.8,2:44,1.85,2023,18
21.0,Buffalo Bills,17.0,181,1144,41.4,14.9,6.3,35.1,Own 29.0,3:01,2.37,2023,18
22.0,Tennessee Titans,17.0,181,1032,32.6,9.4,5.7,26.9,Own 27.3,2:48,1.64,2023,18
23.0,Arizona Cardinals,17.0,180,1101,35.0,9.4,6.1,30.4,Own 26.2,2:46,1.83,2023,18
24.0,Carolina Panthers,17.0,180,1126,25.0,11.1,6.3,25.1,Own 25.6,2:56,1.19,2023,18
25.0,Minnesota Vikings,17.0,179,1101,34.1,18.4,6.2,32.9,Own 26.6,2:47,1.85,2023,18
26.0,Las Vegas Raiders,17.0,179,1040,31.8,13.4,5.8,27.5,Own 29.4,2:43,1.65,2023,18
27.0,San Francisco 49ers,17.0,179,1049,45.3,10.1,5.9,37.8,Own 30.4,2:57,2.7,2023,18
28.0,Kansas City Chiefs,17.0,178,1108,39.3,14.6,6.2,33.3,Own 28.6,2:53,2.01,2023,18
29.0,Seattle Seahawks,17.0,178,1037,38.8,8.4,5.8,30.8,Own 28.7,2:34,1.93,2023,18
30.0,Philadelphia Eagles,17.0,177,1144,42.9,15.3,6.5,34.0,Own 28.9,2:59,2.33,2023,18
31.0,Green Bay Packers,17.0,174,1085,39.7,9.2,6.2,33.8,Own 29.8,2:54,2.16,2023,18
32.0,Dallas Cowboys,17.0,169,1157,50.3,8.9,6.8,37.3,Own 28.9,3:11,2.67,2023,18
,League Total,,6019,35376,35.5,11.6,5.9,29.9,Own 28.8,2:43,1.88,2023,18
