Unnamed: 0,GNB,SEA,week,year,game_id
First Downs,21,14,15.0,2024,222
Rush-Yds-TDs,34-140-1,16-80-1,15.0,2024,222
Cmp-Att-Yd-TD-INT,20-27-229-2-0,20-33-173-0-2,15.0,2024,222
Sacked-Yards,0-0,7-45,15.0,2024,222
Net Pass Yards,229,128,15.0,2024,222
Total Yards,369,208,15.0,2024,222
Fumbles-Lost,2-1,0-0,15.0,2024,222
Turnovers,1,2,15.0,2024,222
Penalties-Yards,5-27,5-108,15.0,2024,222
Third Down Conv.,5-12,4-13,15.0,2024,222
Fourth Down Conv.,0-1,0-0,15.0,2024,222
Time of Possession,32:58,27:02,15.0,2024,222
