Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Russell Wilson,PIT,0,0,0,0,0,15.0,2024,220
Najee Harris,PIT,1,1,7,0,7,15.0,2024,220
Jaylen Warren,PIT,2,1,3,0,3,15.0,2024,220
Cordarrelle Patterson,PIT,1,1,-1,0,-1,15.0,2024,220
Justin Fields,PIT,0,0,0,0,0,15.0,2024,220
Calvin Austin III,PIT,5,5,65,0,31,15.0,2024,220
Pat Freiermuth,PIT,6,3,22,1,12,15.0,2024,220
Ben Skowronek,PIT,1,1,17,0,17,15.0,2024,220
Mike Williams,PIT,2,1,15,0,15,15.0,2024,220
Van Jefferson,PIT,2,1,0,0,0,15.0,2024,220
Scott Miller,PIT,1,0,0,0,0,15.0,2024,220
Jalen Hurts,PHI,0,0,0,0,0,15.0,2024,220
Saquon Barkley,PHI,2,2,9,0,5,15.0,2024,220
Kenneth Gainwell,PHI,3,3,40,0,16,15.0,2024,220
DeVonta Smith,PHI,12,11,109,1,22,15.0,2024,220
A.J. Brown,PHI,11,8,110,1,21,15.0,2024,220
Grant Calcaterra,PHI,1,1,22,0,22,15.0,2024,220
Jahan Dotson,PHI,1,0,0,0,0,15.0,2024,220
Johnny Wilson,PHI,1,0,0,0,0,15.0,2024,220
