Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Baker Mayfield,TAM,2,25,0,21,15.0,2024,221
Bucky Irving,TAM,15,117,0,54,15.0,2024,221
Rachaad White,TAM,15,64,0,11,15.0,2024,221
Sean Tucker,TAM,7,17,0,4,15.0,2024,221
Mike Evans,TAM,0,0,0,0,15.0,2024,221
Jalen McMillan,TAM,0,0,0,0,15.0,2024,221
Cade Otton,TAM,0,0,0,0,15.0,2024,221
Sterling Shepard,TAM,0,0,0,0,15.0,2024,221
Ryan Miller,TAM,0,0,0,0,15.0,2024,221
Justin Herbert,LAC,0,0,0,0,15.0,2024,221
Taylor Heinicke,LAC,0,0,0,0,15.0,2024,221
Gus Edwards,LAC,8,23,0,8,15.0,2024,221
Kimani Vidal,LAC,3,9,0,7,15.0,2024,221
Ladd McConkey,LAC,0,0,0,0,15.0,2024,221
Stone Smartt,LAC,0,0,0,0,15.0,2024,221
Quentin Johnston,LAC,0,0,0,0,15.0,2024,221
DJ Chark,LAC,0,0,0,0,15.0,2024,221
Josh Palmer,LAC,0,0,0,0,15.0,2024,221
Tucker Fisk,LAC,0,0,0,0,15.0,2024,221
