Unnamed: 0,CIN,TEN,week,year,game_id
First Downs,24,25,15.0,2024,211
Rush-Yds-TDs,26-101-1,26-83-2,15.0,2024,211
Cmp-Att-Yd-TD-INT,26-37-271-3-2,29-38-298-2-4,15.0,2024,211
Sacked-Yards,1-2,1-7,15.0,2024,211
Net Pass Yards,269,291,15.0,2024,211
Total Yards,370,374,15.0,2024,211
Fumbles-Lost,2-2,2-2,15.0,2024,211
Turnovers,4,6,15.0,2024,211
Penalties-Yards,14-113,12-110,15.0,2024,211
Third Down Conv.,10-13,5-8,15.0,2024,211
Fourth Down Conv.,0-0,0-0,15.0,2024,211
Time of Possession,28:31,31:29,15.0,2024,211
