Unnamed: 0,LAR,SFO,week,year,game_id
First Downs,14,11,15.0,2024,209
Rush-Yds-TDs,38-142-0,19-63-0,15.0,2024,209
Cmp-Att-Yd-TD-INT,16-27-160-0-0,14-31-142-0-1,15.0,2024,209
Sacked-Yards,0-0,3-14,15.0,2024,209
Net Pass Yards,160,128,15.0,2024,209
Total Yards,302,191,15.0,2024,209
Fumbles-Lost,0-0,0-0,15.0,2024,209
Turnovers,0,1,15.0,2024,209
Penalties-Yards,4-40,4-25,15.0,2024,209
Third Down Conv.,4-15,3-12,15.0,2024,209
Fourth Down Conv.,1-1,0-0,15.0,2024,209
Time of Possession,35:04,24:56,15.0,2024,209
