Unnamed: 0,PIT,PHI,week,year,game_id
First Downs,10,26,15.0,2024,220
Rush-Yds-TDs,17-56-0,42-131-1,15.0,2024,220
Cmp-Att-Yd-TD-INT,14-22-128-1-0,25-32-290-2-0,15.0,2024,220
Sacked-Yards,2-21,3-20,15.0,2024,220
Net Pass Yards,107,270,15.0,2024,220
Total Yards,163,401,15.0,2024,220
Fumbles-Lost,2-1,2-2,15.0,2024,220
Turnovers,1,2,15.0,2024,220
Penalties-Yards,5-60,7-54,15.0,2024,220
Third Down Conv.,3-10,10-17,15.0,2024,220
Fourth Down Conv.,0-0,1-1,15.0,2024,220
Time of Possession,20:08,39:52,15.0,2024,220
