Quarter,Time,Tm,Detail,NWE,ARI,week,year,game_id
1.0,7:13,Cardinals,Chad Ryland 49 yard field goal,0,3,15.0,2024,219
,1:21,Cardinals,Jonah Williams fumble recovery in end zone (Chad Ryland kick),0,10,15.0,2024,219
2.0,2:01,Patriots,Joey Slye 50 yard field goal,3,10,15.0,2024,219
,0:16,Cardinals,Chad Ryland 35 yard field goal,3,13,15.0,2024,219
3.0,9:07,Cardinals,Chad Ryland 40 yard field goal,3,16,15.0,2024,219
4.0,10:39,Cardinals,James Conner 1 yard rush (Chad Ryland kick),3,23,15.0,2024,219
,8:14,Patriots,Demario Douglas 3 yard pass from Drake Maye (Joey Slye kick),10,23,15.0,2024,219
,3:27,Cardinals,James Conner 1 yard rush (Chad Ryland kick),10,30,15.0,2024,219
,1:55,Patriots,Drake Maye 5 yard rush (Joey Slye kick),17,30,15.0,2024,219
