Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Browns,-14.0,-22.38,-23.99,1.61,-21.08,4.31,-0.19,3.47,0.0,0.74,-1.88,5.14,3.93,-9.55,3.1,15.0,2024,212
Chiefs,14.0,-4.31,0.19,-3.47,0.0,22.38,23.99,-1.61,21.08,-0.74,-5.14,1.88,9.55,-3.93,-3.1,15.0,2024,212
