Unnamed: 0,BUF,DET,week,year,game_id
First Downs,28,30,15.0,2024,217
Rush-Yds-TDs,34-197-4,15-48-1,15.0,2024,217
Cmp-Att-Yd-TD-INT,23-34-362-2-0,38-59-494-5-0,15.0,2024,217
Sacked-Yards,0-0,3-21,15.0,2024,217
Net Pass Yards,362,473,15.0,2024,217
Total Yards,559,521,15.0,2024,217
Fumbles-Lost,0-0,2-1,15.0,2024,217
Turnovers,0,1,15.0,2024,217
Penalties-Yards,6-49,5-41,15.0,2024,217
Third Down Conv.,5-10,6-13,15.0,2024,217
Fourth Down Conv.,1-1,3-3,15.0,2024,217
Time of Possession,32:42,27:18,15.0,2024,217
