Unnamed: 0,TAM,LAC,week,year,game_id
First Downs,24,14,15.0,2024,221
Rush-Yds-TDs,39-223-0,11-32-0,15.0,2024,221
Cmp-Att-Yd-TD-INT,22-27-288-4-1,22-34-199-2-1,15.0,2024,221
Sacked-Yards,1-5,3-25,15.0,2024,221
Net Pass Yards,283,174,15.0,2024,221
Total Yards,506,206,15.0,2024,221
Fumbles-Lost,1-1,2-1,15.0,2024,221
Turnovers,2,2,15.0,2024,221
Penalties-Yards,8-83,7-60,15.0,2024,221
Third Down Conv.,9-15,0-6,15.0,2024,221
Fourth Down Conv.,1-1,0-2,15.0,2024,221
Time of Possession,36:48,23:12,15.0,2024,221
