Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,,15.0,2024,209
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,209
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Ahkello Witherspoon),0.94,0.39,15.0,2024,209
1.0,14:57,2.0,10.0,SFO 30,0.0,0.0,Isaac Guerendo left end for 1 yard (tackle by Christian Rozeboom),0.39,-0.16,15.0,2024,209
1.0,14:15,3.0,9.0,SFO 31,0.0,0.0,"Brock Purdy pass incomplete deep left intended for George Kittle. Penalty on Dominick Puni: Offensive Holding, 10 yards (declined)",-0.16,-1.31,15.0,2024,209
1.0,14:10,4.0,9.0,SFO 31,0.0,0.0,"Pat O'Donnell punts 40 yards, fair catch by Xavier Smith at LA-29",-1.31,-0.87,15.0,2024,209
1.0,14:03,1.0,10.0,LAR 29,0.0,0.0,Kyren Williams right guard for 5 yards (tackle by Renardo Green and Dre Greenlaw),0.87,1.0,15.0,2024,209
1.0,13:30,2.0,5.0,LAR 34,0.0,0.0,"Kyren Williams up the middle for 1 yard (tackle by Leonard Floyd). Penalty on Alaric Jackson: Offensive Holding, 10 yards (accepted)",1.0,-0.21,15.0,2024,209
1.0,13:06,2.0,14.0,LAR 25,0.0,0.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Deommodore Lenoir),-0.21,-0.89,15.0,2024,209
1.0,13:03,3.0,14.0,LAR 25,0.0,0.0,Matthew Stafford pass incomplete deep middle intended for Cooper Kupp (defended by Deommodore Lenoir),-0.89,-1.7,15.0,2024,209
1.0,12:59,4.0,14.0,LAR 25,0.0,0.0,"Ethan Evans punts 56 yards, returned by Jacob Cowing for 7 yards (tackle by Xavier Smith)",-1.7,-0.67,15.0,2024,209
1.0,12:48,1.0,10.0,SFO 26,0.0,0.0,Brock Purdy pass complete deep middle to George Kittle for 33 yards (tackle by Quentin Lake),0.67,2.85,15.0,2024,209
1.0,12:06,1.0,10.0,LAR 41,0.0,0.0,Isaac Guerendo right tackle for 1 yard (tackle by Jared Verse),2.85,2.44,15.0,2024,209
