Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,15.0,2024,222
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 67 yards, returned by Keisean Nixon for 39 yards (tackle by Nehemiah Pritchett and Dareke Young)",0.0,1.4,15.0,2024,222
1.0,14:55,1.0,10.0,GNB 37,0.0,0.0,Jordan Love pass complete short right to Josh Jacobs for 4 yards (tackle by Leonard Williams),1.4,1.4,15.0,2024,222
1.0,14:19,2.0,6.0,GNB 41,0.0,0.0,"Jordan Love pass complete short left to Josh Jacobs for 13 yards (tackle by Ernest Jones). Penalty on Riq Woolen: Unnecessary Roughness / Defense, 15 yards (accepted)",1.4,3.51,15.0,2024,222
1.0,13:53,1.0,10.0,SEA 31,0.0,0.0,Josh Jacobs left guard for 3 yards (tackle by Leonard Williams and Derick Hall),3.51,3.37,15.0,2024,222
1.0,13:17,2.0,7.0,SEA 28,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Jarran Reed),3.37,3.2,15.0,2024,222
1.0,12:52,3.0,3.0,SEA 24,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by Jarran Reed),3.2,4.31,15.0,2024,222
1.0,12:12,1.0,10.0,SEA 19,0.0,0.0,Josh Jacobs right tackle for 8 yards (tackle by Coby Bryant),4.31,5.14,15.0,2024,222
1.0,11:30,2.0,2.0,SEA 11,0.0,0.0,Josh Jacobs right guard for 5 yards (tackle by Tyrice Knight and Ernest Jones),5.14,5.83,15.0,2024,222
1.0,10:49,1.0,6.0,SEA 6,0.0,0.0,Josh Jacobs left guard for 1 yard (tackle by Johnathan Hankins and Ernest Jones),5.83,5.15,15.0,2024,222
1.0,10:05,2.0,5.0,SEA 5,0.0,0.0,Jordan Love scrambles left end for 4 yards (tackle by Julian Love),5.15,5.17,15.0,2024,222
1.0,9:25,3.0,1.0,SEA 1,6.0,0.0,"Josh Jacobs up the middle for 1 yard, touchdown",5.17,7.0,15.0,2024,222
1.0,9:19,,,SEA 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2024,222
1.0,9:19,,,GNB 35,7.0,0.0,"Brandon McManus kicks off 65 yards, returned by Jaelon Darden for 25 yards (tackle by Edgerrin Cooper)",0.0,0.61,15.0,2024,222
1.0,9:13,1.0,10.0,SEA 25,7.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 15 yards,0.61,1.6,15.0,2024,222
1.0,8:50,1.0,10.0,SEA 40,7.0,0.0,Zach Charbonnet up the middle for 1 yard (tackle by Tedarrell Slaton),1.6,1.19,15.0,2024,222
1.0,8:14,2.0,9.0,SEA 41,7.0,0.0,Geno Smith pass complete short left to Noah Fant for 5 yards (tackle by Carrington Valentine and Xavier McKinney),1.19,1.16,15.0,2024,222
1.0,7:32,3.0,4.0,SEA 46,7.0,0.0,Geno Smith sacked by Edgerrin Cooper for -9 yards,1.16,-0.91,15.0,2024,222
1.0,6:51,4.0,13.0,SEA 37,7.0,0.0,"Michael Dickson punts 43 yards, fair catch by Jayden Reed at GB-20",-0.91,-0.28,15.0,2024,222
1.0,6:43,1.0,10.0,GNB 20,7.0,0.0,Jordan Love pass complete short right to Josh Jacobs for 21 yards (tackle by Coby Bryant),0.28,1.66,15.0,2024,222
1.0,6:00,1.0,10.0,GNB 41,7.0,0.0,Jordan Love pass complete short middle to Jayden Reed for 9 yards (tackle by Tyrice Knight),1.66,2.34,15.0,2024,222
1.0,5:24,2.0,1.0,SEA 50,7.0,0.0,Emanuel Wilson up the middle for 1 yard (tackle by Rayshawn Jenkins and Roy Robertson-Harris),2.34,2.32,15.0,2024,222
1.0,4:39,,,,,,Timeout #1 by Green Bay Packers,,,15.0,2024,222
1.0,4:39,1.0,10.0,SEA 49,7.0,0.0,Josh Jacobs left guard for 19 yards (tackle by Coby Bryant),2.32,3.58,15.0,2024,222
1.0,4:00,1.0,10.0,SEA 30,7.0,0.0,Jayden Reed right end for 9 yards (tackle by Coby Bryant),3.58,4.25,15.0,2024,222
1.0,3:20,2.0,1.0,SEA 21,7.0,0.0,Chris Brooks right end for 6 yards (tackle by Riq Woolen),4.25,4.58,15.0,2024,222
1.0,2:42,1.0,10.0,SEA 15,7.0,0.0,Jordan Love pass complete short left to Jayden Reed for 2 yards (tackle by Josh Jobe),4.58,4.28,15.0,2024,222
1.0,2:01,2.0,8.0,SEA 13,13.0,0.0,"Jordan Love pass complete short middle to Romeo Doubs for 13 yards, touchdown",4.28,7.0,15.0,2024,222
1.0,1:54,,,SEA 15,14.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2024,222
1.0,1:54,,,GNB 35,14.0,0.0,"Brandon McManus kicks off 62 yards, returned by Jaelon Darden for 27 yards (tackle by Lukas Van Ness)",0.0,0.94,15.0,2024,222
1.0,1:48,1.0,10.0,SEA 30,14.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Isaiah McDuffie),0.94,1.34,15.0,2024,222
1.0,1:08,2.0,3.0,SEA 37,14.0,0.0,"Zach Charbonnet right guard for no gain (tackle by Eric Stokes and Isaiah McDuffie). Penalty on Olusegun Oluwatimi: Offensive Holding, 10 yards (accepted) (no play)",1.34,-0.01,15.0,2024,222
1.0,0:40,2.0,13.0,SEA 27,14.0,0.0,Geno Smith pass complete deep left to Jaxon Smith-Njigba for 25 yards (tackle by Evan Williams),-0.01,2.39,15.0,2024,222
1.0,0:14,1.0,10.0,GNB 48,14.0,0.0,Zach Charbonnet left end for 16 yards (tackle by Quay Walker),2.39,3.45,15.0,2024,222
2.0,15:00,1.0,10.0,GNB 32,14.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Quay Walker),3.45,4.12,15.0,2024,222
2.0,14:25,2.0,1.0,GNB 23,14.0,0.0,Zach Charbonnet up the middle for -1 yards (tackle by Kingsley Enagbare),4.12,3.27,15.0,2024,222
2.0,13:45,3.0,2.0,GNB 24,14.0,0.0,Geno Smith sacked by Rashan Gary for -6 yards,3.27,1.41,15.0,2024,222
2.0,13:04,4.0,8.0,GNB 30,14.0,3.0,Jason Myers 48 yard field goal good,1.41,3.0,15.0,2024,222
2.0,12:59,,,SEA 35,14.0,3.0,"Jason Myers kicks off 66 yards, returned by Keisean Nixon for 30 yards (tackle by Rayshawn Jenkins)",0.0,0.87,15.0,2024,222
2.0,12:53,1.0,10.0,GNB 29,14.0,3.0,Jordan Love pass complete short middle to Tucker Kraft for 8 yards (tackle by Rayshawn Jenkins and Ernest Jones),0.87,1.41,15.0,2024,222
2.0,12:16,2.0,2.0,GNB 37,14.0,3.0,Josh Jacobs right tackle for 1 yard (tackle by Johnathan Hankins),1.41,0.83,15.0,2024,222
2.0,11:49,3.0,1.0,GNB 38,14.0,3.0,Jordan Love pass complete short left to Dontayvion Wicks for 2 yards (tackle by Coby Bryant),0.83,1.6,15.0,2024,222
2.0,11:05,1.0,10.0,GNB 40,14.0,3.0,Jordan Love pass complete deep left to Christian Watson for 36 yards,1.6,3.97,15.0,2024,222
2.0,10:57,1.0,10.0,SEA 24,14.0,3.0,Josh Jacobs left guard for 2 yards (tackle by Jarran Reed and Tyrice Knight),3.97,3.7,15.0,2024,222
2.0,10:16,2.0,8.0,SEA 22,14.0,3.0,Josh Jacobs up the middle for 2 yards (tackle by Jarran Reed and Dre'Mont Jones),3.7,3.27,15.0,2024,222
2.0,9:32,3.0,6.0,SEA 20,14.0,3.0,Jordan Love pass incomplete deep right intended for Romeo Doubs,3.27,2.15,15.0,2024,222
2.0,9:25,4.0,6.0,SEA 20,17.0,3.0,Brandon McManus 39 yard field goal good,2.15,3.0,15.0,2024,222
2.0,9:21,,,GNB 35,17.0,3.0,"Brandon McManus kicks off 63 yards, returned by Jaelon Darden for 23 yards (tackle by Eric Wilson)",0.0,0.61,15.0,2024,222
2.0,9:15,1.0,10.0,SEA 25,17.0,3.0,Kenny McIntosh left tackle for 5 yards (tackle by Isaiah McDuffie and Carrington Valentine),0.61,0.74,15.0,2024,222
2.0,8:37,2.0,5.0,SEA 30,17.0,3.0,Kenny McIntosh right end for 1 yard (tackle by Brenton Cox),0.74,0.17,15.0,2024,222
2.0,7:59,3.0,4.0,SEA 31,17.0,3.0,Geno Smith pass complete short middle to Jake Bobo for 8 yards (tackle by Keisean Nixon),0.17,1.53,15.0,2024,222
2.0,7:16,1.0,10.0,SEA 39,17.0,3.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Eric Stokes),1.53,1.66,15.0,2024,222
2.0,6:47,2.0,5.0,SEA 44,17.0,3.0,Zach Charbonnet right end for 3 yards (tackle by Rashan Gary),1.66,1.36,15.0,2024,222
2.0,6:04,3.0,2.0,SEA 47,17.0,3.0,"Geno Smith pass incomplete deep right intended for Zach Charbonnet. Penalty on Keisean Nixon: Defensive Holding, 5 yards (accepted) (no play)",1.36,2.39,15.0,2024,222
2.0,6:04,1.0,10.0,GNB 48,17.0,3.0,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 18 yards (tackle by Evan Williams),2.39,3.58,15.0,2024,222
2.0,5:23,1.0,10.0,GNB 30,17.0,3.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 2 yards (tackle by Carrington Valentine),3.58,3.3,15.0,2024,222
2.0,4:45,2.0,8.0,GNB 28,17.0,3.0,Geno Smith pass complete short left to Noah Fant for 5 yards (tackle by Xavier McKinney),3.3,3.27,15.0,2024,222
2.0,4:05,3.0,3.0,GNB 23,17.0,3.0,"Geno Smith scrambles up the middle for 5 yards (tackle by Quay Walker). Penalty on Keisean Nixon: Defensive Holding, 5 yards (accepted)",3.27,4.71,15.0,2024,222
2.0,3:42,1.0,10.0,GNB 13,17.0,3.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 1 yard (tackle by Edgerrin Cooper and Keisean Nixon),4.71,4.22,15.0,2024,222
2.0,3:12,2.0,9.0,GNB 12,17.0,3.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Carrington Valentine),4.22,3.28,15.0,2024,222
2.0,3:07,3.0,9.0,GNB 12,17.0,3.0,Geno Smith pass deep left intended for Noah Fant is intercepted by Carrington Valentine in end zone and returned for 20 yards (tackle by Jaxon Smith-Njigba),3.28,0.28,15.0,2024,222
2.0,2:54,1.0,10.0,GNB 14,17.0,3.0,"Josh Jacobs right guard for no gain (tackle by Tyrice Knight). Penalty on Josh Myers: Offensive Holding, 7 yards (accepted) (no play)",-0.28,-0.65,15.0,2024,222
2.0,2:41,1.0,17.0,GNB 7,17.0,3.0,Josh Jacobs up the middle for 5 yards (tackle by Jarran Reed and Ernest Jones),-0.65,-0.93,15.0,2024,222
2.0,2:18,,,,,,Timeout #1 by Seattle Seahawks,,,15.0,2024,222
2.0,2:18,2.0,12.0,GNB 12,17.0,3.0,"Jordan Love pass complete deep middle to Tucker Kraft for 26 yards (tackle by Julian Love). Penalty on Leonard Williams: Defensive Offside, 5 yards (declined)",-0.93,1.47,15.0,2024,222
2.0,2:00,1.0,10.0,GNB 38,17.0,3.0,Josh Jacobs up the middle for 9 yards (tackle by Julian Love and Ernest Jones),1.47,2.14,15.0,2024,222
2.0,1:41,2.0,1.0,GNB 47,17.0,3.0,Josh Jacobs up the middle for 8 yards (tackle by Ernest Jones and Julian Love),2.14,2.59,15.0,2024,222
2.0,0:56,1.0,10.0,SEA 45,17.0,3.0,Jordan Love pass complete short left to Jayden Reed for 3 yards (tackle by Devon Witherspoon),2.59,2.45,15.0,2024,222
2.0,0:19,2.0,7.0,SEA 42,17.0,3.0,Jordan Love pass complete short right to Romeo Doubs for 5 yards (tackle by Riq Woolen),2.45,2.41,15.0,2024,222
2.0,0:10,,,,,,Timeout #2 by Green Bay Packers,,,15.0,2024,222
2.0,0:10,3.0,2.0,SEA 37,17.0,3.0,"Jordan Love pass incomplete deep right intended for Romeo Doubs. Penalty on Riq Woolen: Defensive Pass Interference, 34 yards (accepted) (no play)",2.41,6.51,15.0,2024,222
2.0,0:04,,,,,,Timeout #2 by Seattle Seahawks,,,15.0,2024,222
2.0,0:04,,,,,,Timeout #3 by Green Bay Packers,,,15.0,2024,222
2.0,0:04,1.0,3.0,SEA 3,20.0,3.0,Brandon McManus 21 yard field goal good,6.51,3.0,15.0,2024,222
3.0,15:00,,,GNB 35,20.0,3.0,"Brandon McManus kicks off 64 yards, returned by Jaelon Darden for 37 yards (tackle by Xavier McKinney)",0.0,1.47,15.0,2024,222
3.0,14:52,1.0,10.0,SEA 38,20.0,3.0,Zach Charbonnet up the middle for 3 yards (tackle by Tedarrell Slaton),1.47,1.33,15.0,2024,222
3.0,14:17,2.0,7.0,SEA 41,20.0,3.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Kingsley Enagbare),1.33,2.26,15.0,2024,222
3.0,13:42,1.0,10.0,SEA 50,20.0,3.0,Zach Charbonnet right tackle for 2 yards (tackle by Isaiah McDuffie and Eric Stokes),2.26,1.98,15.0,2024,222
3.0,13:21,2.0,8.0,GNB 48,20.0,3.0,Geno Smith pass complete short middle to D.K. Metcalf for 6 yards (tackle by Xavier McKinney),1.98,2.08,15.0,2024,222
3.0,12:41,3.0,2.0,GNB 42,20.0,3.0,Zach Charbonnet right tackle for 6 yards (tackle by Eric Wilson and Arron Mosby),2.08,3.18,15.0,2024,222
3.0,12:18,1.0,10.0,GNB 36,20.0,3.0,Geno Smith sacked by Devonte Wyatt for -9 yards,3.18,1.42,15.0,2024,222
3.0,11:41,2.0,19.0,GNB 45,20.0,3.0,"Geno Smith pass incomplete short right. Penalty on Laken Tomlinson: Ineligible Downfield Pass, 5 yards (declined)",1.42,0.76,15.0,2024,222
3.0,11:35,3.0,19.0,GNB 45,20.0,3.0,"Geno Smith pass complete short left to Noah Fant for no gain (tackle by Carrington Valentine and Eric Wilson). Penalty on Sataoa Laumea: Offensive Holding, 10 yards (accepted) (no play)",0.76,-0.56,15.0,2024,222
3.0,11:14,3.0,29.0,SEA 45,20.0,3.0,Geno Smith pass complete short right to Zach Charbonnet for 12 yards (tackle by Edgerrin Cooper),-0.56,0.4,15.0,2024,222
3.0,10:32,4.0,17.0,GNB 43,20.0,3.0,"Michael Dickson punts 36 yards, fair catch by Jayden Reed at GB-7",0.4,0.38,15.0,2024,222
3.0,10:26,1.0,10.0,GNB 7,20.0,3.0,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by Coby Bryant),-0.38,-0.14,15.0,2024,222
3.0,9:42,2.0,2.0,GNB 15,20.0,3.0,Josh Jacobs up the middle for 1 yard (tackle by Leonard Williams),-0.14,-0.37,15.0,2024,222
3.0,8:42,3.0,1.0,GNB 16,20.0,3.0,Josh Jacobs right tackle for -3 yards (tackle by Leonard Williams),-0.37,-2.49,15.0,2024,222
3.0,7:56,4.0,4.0,GNB 13,20.0,3.0,Daniel Whelan punts 33 yards downed by Zayne Anderson,-2.49,-2.52,15.0,2024,222
3.0,7:46,1.0,10.0,GNB 46,20.0,3.0,Geno Smith pass complete deep left to Tyler Lockett for 22 yards (tackle by Evan Williams),2.52,3.97,15.0,2024,222
3.0,7:13,1.0,10.0,GNB 24,20.0,3.0,Geno Smith pass incomplete short right,3.97,3.43,15.0,2024,222
3.0,7:09,2.0,10.0,GNB 24,20.0,3.0,Sam Howell pass complete short right to Jaxon Smith-Njigba for -2 yards (tackle by Keisean Nixon),3.43,2.48,15.0,2024,222
3.0,6:32,3.0,12.0,GNB 26,20.0,3.0,Sam Howell pass incomplete short right intended for Noah Fant,2.48,1.74,15.0,2024,222
3.0,6:25,4.0,12.0,GNB 26,20.0,6.0,Jason Myers 45 yard field goal good,1.74,3.0,15.0,2024,222
3.0,6:20,,,SEA 35,20.0,6.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,222
3.0,6:20,1.0,10.0,GNB 30,20.0,6.0,"Jordan Love pass incomplete deep right intended for Christian Watson. Penalty on Josh Jobe: Defensive Pass Interference, 39 yards (accepted) (no play)",0.94,3.51,15.0,2024,222
3.0,6:14,1.0,10.0,SEA 31,20.0,6.0,Josh Jacobs up the middle for -3 yards (tackle by Dre'Mont Jones),3.51,2.56,15.0,2024,222
3.0,5:36,2.0,13.0,SEA 34,20.0,6.0,Jordan Love pass complete short left to Chris Brooks for 9 yards (tackle by Jarran Reed),2.56,3.07,15.0,2024,222
3.0,4:51,3.0,4.0,SEA 25,20.0,6.0,Jordan Love pass complete short right to Christian Watson for 11 yards (tackle by Josh Jobe),3.07,4.65,15.0,2024,222
3.0,4:04,1.0,10.0,SEA 14,20.0,6.0,Jayden Reed left end for 5 yards (tackle by Devon Witherspoon),4.65,4.9,15.0,2024,222
3.0,3:27,2.0,5.0,SEA 9,20.0,6.0,Josh Jacobs left guard for no gain (tackle by Tyrice Knight and Byron Murphy),4.9,4.05,15.0,2024,222
3.0,2:44,3.0,5.0,SEA 9,20.0,6.0,"Penalty on Sean Rhyan: False Start, 5 yards (accepted) (no play)",4.05,3.11,15.0,2024,222
3.0,2:32,3.0,10.0,SEA 14,20.0,6.0,Jordan Love pass complete short left to Christian Watson for 9 yards (tackle by Tyrice Knight),3.11,3.03,15.0,2024,222
3.0,1:39,4.0,1.0,SEA 5,23.0,6.0,Brandon McManus 23 yard field goal good,3.03,3.0,15.0,2024,222
3.0,1:36,,,GNB 35,23.0,6.0,"Brandon McManus kicks off 65 yards, returned by Jaelon Darden for 26 yards (tackle by Edgerrin Cooper)",0.0,0.67,15.0,2024,222
3.0,1:30,1.0,10.0,SEA 26,23.0,6.0,Sam Howell sacked by Kingsley Enagbare for -5 yards,0.67,-0.55,15.0,2024,222
3.0,1:05,2.0,15.0,SEA 21,23.0,6.0,Sam Howell scrambles left end for 2 yards (tackle by Kingsley Enagbare),-0.55,-0.96,15.0,2024,222
3.0,0:29,3.0,13.0,SEA 23,23.0,6.0,Sam Howell sacked by Kingsley Enagbare for -3 yards,-0.96,-2.03,15.0,2024,222
4.0,15:00,4.0,16.0,SEA 20,23.0,6.0,"Michael Dickson punts 47 yards, returned by Jayden Reed for 10 yards (tackle by Julian Love)",-2.03,-1.8,15.0,2024,222
4.0,14:50,1.0,10.0,GNB 43,23.0,6.0,Josh Jacobs up the middle for 3 yards (tackle by Jarran Reed),1.8,1.66,15.0,2024,222
4.0,14:13,2.0,7.0,GNB 46,23.0,6.0,Jordan Love pass complete short right to Josh Jacobs for 4 yards (tackle by Leonard Williams),1.66,1.49,15.0,2024,222
4.0,13:33,3.0,3.0,SEA 50,23.0,6.0,Jordan Love pass incomplete short middle intended for Christian Watson,1.49,-0.06,15.0,2024,222
4.0,13:27,4.0,3.0,SEA 50,23.0,6.0,"Penalty on Jordan Love: Delay of Game, 5 yards (accepted) (no play)",-0.06,-0.39,15.0,2024,222
4.0,13:27,4.0,8.0,GNB 45,23.0,6.0,Daniel Whelan punts 51 yards downed by Robert Rochell,-0.39,0.38,15.0,2024,222
4.0,13:18,1.0,10.0,SEA 4,23.0,6.0,Sam Howell pass incomplete short right intended for Zach Charbonnet,-0.38,-0.78,15.0,2024,222
4.0,13:15,2.0,10.0,SEA 4,23.0,6.0,Sam Howell pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Edgerrin Cooper),-0.78,-1.42,15.0,2024,222
4.0,13:12,3.0,10.0,SEA 4,23.0,6.0,Sam Howell pass incomplete short middle intended for Zach Charbonnet,-1.42,-2.49,15.0,2024,222
